시도명,시군구명,행정동명,total,현재,5년후,10년후,15년후,20년후,현재_고령인구비율,5년후_고령인구비율,10년후_고령인구비율,15년후_고령인구비율,20년후_고령인구비율
서울특별시,성동구,옥수동,25910,6099,7909,9919,11870,14385,23.54,30.52,38.28,45.81,55.52
서울특별시,성동구,성수1가제1동,16493,3747,5224,6777,7937,9094,22.72,31.67,41.09,48.12,55.14
서울특별시,성동구,성수1가제2동,12471,2948,3840,4906,5823,6779,23.64,30.79,39.34,46.69,54.36
서울특별시,성동구,성수2가제1동,15675,4563,6097,7432,8494,9540,29.11,38.90,47.41,54.19,60.86
서울특별시,성동구,성수2가제3동,10707,2790,3651,4516,5205,5930,26.06,34.10,42.18,48.61,55.38
서울특별시,성동구,송정동,10479,2836,3800,4722,5435,6199,27.06,36.26,45.06,51.87,59.16
서울특별시,성동구,용답동,11568,3070,4091,5115,5953,6660,26.54,35.36,44.22,51.46,57.57
서울특별시,광진구,화양동,23687,3239,4180,5320,6290,7448,13.67,17.65,22.46,26.55,31.44
서울특별시,광진구,군자동,19529,4464,5827,7211,8425,9722,22.86,29.84,36.92,43.14,49.78
서울특별시,광진구,중곡제1동,15401,3796,4961,6239,7214,8280,24.65,32.21,40.51,46.84,53.76
서울특별시,광진구,중곡제2동,21334,5068,6830,8529,9995,11490,23.76,32.01,39.98,46.85,53.86
서울특별시,광진구,중곡제3동,16071,4320,5727,7126,8275,9295,26.88,35.64,44.34,51.49,57.84
서울특별시,광진구,중곡제4동,28442,7938,10508,13126,15169,17057,27.91,36.95,46.15,53.33,59.97
서울특별시,광진구,능동,11285,2383,3057,3835,4550,5444,21.12,27.09,33.98,40.32,48.24
서울특별시,광진구,광장동,34545,5713,8043,11482,15374,18756,16.54,23.28,33.24,44.50,54.29
서울특별시,광진구,자양제1동,22183,5225,6881,8727,10397,11996,23.55,31.02,39.34,46.87,54.08
서울특별시,광진구,자양제2동,24469,6184,8173,10215,12134,14037,25.27,33.40,41.75,49.59,57.37
서울특별시,광진구,자양제3동,27909,6417,8645,11133,13283,15538,22.99,30.98,39.89,47.59,55.67
서울특별시,광진구,자양제4동,18007,5396,6916,8376,9543,10739,29.97,38.41,46.52,53.00,59.64
서울특별시,광진구,구의제1동,22899,4796,6375,8140,9742,11418,20.94,27.84,35.55,42.54,49.86
서울특별시,광진구,구의제2동,26423,6472,8614,11025,13165,15250,24.49,32.60,41.73,49.82,57.71
서울특별시,광진구,구의제3동,28523,6318,8552,11096,13344,15456,22.15,29.98,38.90,46.78,54.19
서울특별시,동대문구,용신동,32540,8283,10629,12974,15158,17355,25.45,32.66,39.87,46.58,53.33
서울특별시,동대문구,제기동,24650,7922,9712,11682,13195,14599,32.14,39.40,47.39,53.53,59.23
서울특별시,동대문구,전농제1동,29059,8083,10431,12903,14947,17046,27.82,35.90,44.40,51.44,58.66
서울특별시,동대문구,전농제2동,18437,5283,6816,8484,10019,11382,28.65,36.97,46.02,54.34,61.73
서울특별시,동대문구,답십리제1동,28956,6169,8217,10383,12504,15190,21.30,28.38,35.86,43.18,52.46
서울특별시,동대문구,답십리제2동,28123,8017,10342,12757,14818,16807,28.51,36.77,45.36,52.69,59.76
서울특별시,동대문구,장안제1동,38158,9734,12604,15659,18573,21887,25.51,33.03,41.04,48.67,57.36
서울특별시,동대문구,장안제2동,32461,7728,9992,12667,15376,18365,23.81,30.78,39.02,47.37,56.58
서울특별시,동대문구,청량리동,18761,7334,8994,10526,11748,12841,39.09,47.94,56.11,62.62,68.45
서울특별시,동대문구,회기동,10581,2110,2671,3320,3965,4588,19.94,25.24,31.38,37.47,43.36
서울특별시,동대문구,휘경제1동,14009,2973,3836,4892,5699,6584,21.22,27.38,34.92,40.68,47.00
서울특별시,동대문구,휘경제2동,24150,5697,7316,9236,11012,12583,23.59,30.29,38.24,45.60,52.10
서울특별시,동대문구,이문제1동,18156,4376,5553,6950,8166,9154,24.10,30.58,38.28,44.98,50.42
서울특별시,동대문구,이문제2동,19941,5525,7109,8898,10453,11889,27.71,35.65,44.62,52.42,59.62
서울특별시,중랑구,면목제2동,24095,6865,9306,11577,13299,15038,28.49,38.62,48.05,55.19,62.41
서울특별시,중랑구,면목제4동,18938,5566,7111,8804,10253,11713,29.39,37.55,46.49,54.14,61.85
서울특별시,중랑구,면목제5동,14843,3435,4602,5839,6877,8206,23.14,31.00,39.34,46.33,55.29
서울특별시,중랑구,면목본동,33427,9137,12117,15242,17683,19956,27.33,36.25,45.60,52.90,59.70
서울특별시,중랑구,면목제7동,21713,6438,8343,10201,11737,13277,29.65,38.42,46.98,54.06,61.15
