시도명,시군구명,행정동명,행정동별_total,현재,5년후,10년후,현재_고령인구비율,5년후_고령인구비율,10년후_고령인구비율
서울특별시,송파구,잠실6동,16747,6886,8244,9680,41.12,49.23,57.80
서울특별시,송파구,잠실7동,9521,4599,5246,5897,48.30,55.10,61.94
서울특별시,강동구,강일동,32762,12702,15262,18075,38.77,46.58,55.17
서울특별시,강동구,상일제1동,38713,12796,16023,20281,33.05,41.39,52.39
서울특별시,강동구,상일제2동,10219,3609,4347,5147,35.32,42.54,50.37
서울특별시,강동구,명일제1동,25795,10141,12244,14351,39.31,47.47,55.63
서울특별시,강동구,명일제2동,17473,6653,8317,9724,38.08,47.60,55.65
서울특별시,강동구,고덕제1동,23958,7844,10326,13043,32.74,43.10,54.44
서울특별시,강동구,고덕제2동,22383,7906,9655,11941,35.32,43.14,53.35
서울특별시,강동구,암사제1동,34352,15019,17631,20381,43.72,51.32,59.33
서울특별시,강동구,암사제2동,15145,5799,6951,8209,38.29,45.90,54.20
서울특별시,강동구,암사제3동,17793,6679,8169,9907,37.54,45.91,55.68
서울특별시,강동구,천호제1동,26692,12313,14288,16229,46.13,53.53,60.80
서울특별시,강동구,천호제2동,33070,14083,16381,18873,42.59,49.53,57.07
서울특별시,강동구,천호제3동,26410,10973,12742,14678,41.55,48.25,55.58
서울특별시,강동구,성내제1동,19942,7663,9270,10962,38.43,46.48,54.97
서울특별시,강동구,성내제2동,23403,10218,11795,13475,43.66,50.40,57.58
서울특별시,강동구,성내제3동,22975,9779,11546,13301,42.56,50.25,57.89
서울특별시,강동구,길동,45554,19590,22833,26332,43.00,50.12,57.80
서울특별시,강동구,둔촌제1동,132,70,78,95,53.03,59.09,71.97
서울특별시,강동구,둔촌제2동,24529,10387,12151,14013,42.35,49.54,57.13
부산광역시,중구,중앙동,3143,1038,1216,1396,33.03,38.69,44.42
부산광역시,중구,동광동,2621,1667,1837,1967,63.60,70.09,75.05
부산광역시,중구,대청동,6216,3329,3797,4157,53.56,61.08,66.88
부산광역시,중구,보수동,10530,5685,6424,7042,53.99,61.01,66.88
부산광역시,중구,부평동,4515,2683,2972,3241,59.42,65.83,71.78
부산광역시,중구,광복동,963,628,675,730,65.21,70.09,75.80
부산광역시,중구,남포동,899,654,708,749,72.75,78.75,83.31
부산광역시,중구,영주제1동,4703,2233,2588,2854,47.48,55.03,60.68
부산광역시,중구,영주제2동,7006,4207,4682,5075,60.05,66.83,72.44
부산광역시,서구,동대신제1동,5614,2768,3155,3542,49.31,56.20,63.09
부산광역시,서구,동대신제2동,7232,4264,4783,5193,58.96,66.14,71.81
부산광역시,서구,동대신제3동,7714,3712,4242,4752,48.12,54.99,61.60
부산광역시,서구,서대신제1동,13640,5999,7044,8134,43.98,51.64,59.63
부산광역시,서구,서대신제3동,7975,3680,4341,4953,46.14,54.43,62.11
부산광역시,서구,서대신제4동,7680,3504,4107,4700,45.63,53.48,61.20
부산광역시,서구,부민동,7534,3202,3692,4192,42.50,49.00,55.64
부산광역시,서구,아미동,6493,4255,4677,4982,65.53,72.03,76.73
부산광역시,서구,초장동,4214,2762,3046,3279,65.54,72.28,77.81
부산광역시,서구,충무동,9842,5145,5801,6400,52.28,58.94,65.03
부산광역시,서구,남부민제1동,4825,3158,3458,3689,65.45,71.67,76.46
부산광역시,서구,남부민제2동,8921,5673,6256,6749,63.59,70.13,75.65
부산광역시,서구,암남동,12639,6847,7614,8398,54.17,60.24,66.45
부산광역시,동구,초량제1동,5030,2588,2958,3309,51.45,58.81,65.79
부산광역시,동구,초량제2동,5705,3464,3832,4171,60.72,67.17,73.11
부산광역시,동구,초량제3동,13074,4438,5391,6501,33.95,41.23,49.72
부산광역시,동구,초량제6동,5871,3600,4011,4344,61.32,68.32,73.99
부산광역시,동구,수정제1동,4129,2230,2536,2798,54.01,61.42,67.76
부산광역시,동구,수정제2동,9778,5465,6112,6653,55.89,62.51,68.04
부산광역시,동구,수정제4동,3829,2541,2783,2942,66.36,72.68,76.83
부산광역시,동구,수정제5동,5278,3276,3613,3917,62.07,68.45,74.21
부산광역시,동구,좌천동,11625,6372,7139,7850,54.81,61.41,67.53
부산광역시,동구,범일제1동,11700,7069,7796,8407,60.42,66.63,71.85
부산광역시,동구,범일제2동,7969,3961,4494,5043,49.71,56.39,63.28
부산광역시,동구,범일제5동,4295,2024,2341,2715,47.12,54.51,63.21
부산광역시,영도구,남항동,10825,6504,7234,7844,60.08,66.83,72.46
부산광역시,영도구,영선제1동,3962,2353,2591,2835,59.39,65.40,71.55
부산광역시,영도구,영선제2동,8180,4791,5310,5767,58.57,64.91,70.50
부산광역시,영도구,신선동,8185,5368,5911,6337,65.58,72.22,77.42
부산광역시,영도구,봉래제1동,6709,3869,4328,4747,57.67,64.51,70.76
부산광역시,영도구,봉래제2동,7880,4099,4709,5259,52.02,59.76,66.74
부산광역시,영도구,청학제1동,6026,3425,3862,4287,56.84,64.09,71.14
부산광역시,영도구,청학제2동,17410,9386,10670,11818,53.91,61.29,67.88
부산광역시,영도구,동삼제1동,27341,14480,16487,18186,52.96,60.30,66.52
부산광역시,영도구,동삼제2동,3363,1764,1982,2202,52.45,58.94,65.48
부산광역시,영도구,동삼제3동,9779,6353,6949,7462,64.97,71.06,76.31
부산광역시,부산진구,부전제1동,15844,6752,7633,8537,42.62,48.18,53.88
부산광역시,부산진구,부전제2동,9934,3667,4350,5175,36.91,43.79,52.09
부산광역시,부산진구,연지동,20434,9915,11598,13125,48.52,56.76,64.23
부산광역시,부산진구,초읍동,21905,11647,13217,14752,53.17,60.34,67.35
부산광역시,부산진구,양정제1동,19820,9400,10933,12211,47.43,55.16,61.61
부산광역시,부산진구,양정제2동,11899,4258,5059,5860,35.78,42.52,49.25
부산광역시,부산진구,전포제1동,21795,7144,8604,10250,32.78,39.48,47.03
부산광역시,부산진구,전포제2동,20811,9679,11072,12513,46.51,53.20,60.13
부산광역시,부산진구,부암제1동,23126,9945,11814,13704,43.00,51.09,59.26
부산광역시,부산진구,부암제3동,17319,8342,9833,11097,48.17,56.78,64.07
부산광역시,부산진구,당감제1동,22837,11866,13582,15006,51.96,59.47,65.71
부산광역시,부산진구,당감제2동,10214,4505,5214,5998,44.11,51.05,58.72
부산광역시,부산진구,당감제4동,11224,5729,6566,7345,51.04,58.50,65.44
부산광역시,부산진구,가야제1동,19057,9442,10788,12013,49.55,56.61,63.04
부산광역시,부산진구,가야제2동,16775,8386,9549,10664,49.99,56.92,63.57
부산광역시,부산진구,개금제1동,16703,6472,7627,8882,38.75,45.66,53.18
부산광역시,부산진구,개금제2동,10836,5538,6296,6960,51.11,58.10,64.23
부산광역시,부산진구,개금제3동,28546,13898,16009,17889,48.69,56.08,62.67
부산광역시,부산진구,범천제1동,11914,4625,5354,6156,38.82,44.94,51.67
부산광역시,부산진구,범천제2동,20161,9769,11064,12539,48.45,54.88,62.19
부산광역시,동래구,수민동,32168,14240,16713,19252,44.27,51.96,59.85
부산광역시,동래구,복산동,9318,5584,6210,6708,59.93,66.65,71.99
부산광역시,동래구,명륜동,24451,8647,11158,13661,35.36,45.63,55.87
부산광역시,동래구,온천제1동,22010,8941,10590,12298,40.62,48.11,55.87
부산광역시,동래구,온천제2동,23537,9343,11143,13227,39.69,47.34,56.20
부산광역시,동래구,온천제3동,38317,17243,20023,22743,45.00,52.26,59.35
부산광역시,동래구,사직제1동,10519,4578,5459,6324,43.52,51.90,60.12
부산광역시,동래구,사직제2동,26641,9680,12541,15055,36.33,47.07,56.51
부산광역시,동래구,사직제3동,17264,7356,8881,10533,42.61,51.44,61.01
부산광역시,동래구,안락제1동,14339,7616,8591,9543,53.11,59.91,66.55
부산광역시,동래구,안락제2동,26949,12478,14628,16624,46.30,54.28,61.69
부산광역시,동래구,명장제1동,13939,7054,7968,8983,50.61,57.16,64.45
부산광역시,동래구,명장제2동,14682,7618,8528,9496,51.89,58.08,64.68
부산광역시,남구,대연제1동,15767,7002,8008,8959,44.41,50.79,56.82
부산광역시,남구,대연제3동,32778,10968,13641,16519,33.46,41.62,50.40
부산광역시,남구,대연제4동,12259,5816,6671,7667,47.44,54.42,62.54
부산광역시,남구,대연제5동,16947,7311,8591,9873,43.14,50.69,58.26
부산광역시,남구,대연제6동,15236,5653,6988,8477,37.10,45.87,55.64
부산광역시,남구,용호제1동,43999,20039,24012,27419,45.54,54.57,62.32
부산광역시,남구,용호제2동,16658,7715,9107,10464,46.31,54.67,62.82
부산광역시,남구,용호제3동,12151,6887,7759,8491,56.68,63.85,69.88
부산광역시,남구,용호제4동,8461,4245,4931,5552,50.17,58.28,65.62
부산광역시,남구,용당동,8183,3986,4646,5189,48.71,56.78,63.41
부산광역시,남구,감만제1동,12766,6926,7908,8729,54.25,61.95,68.38
부산광역시,남구,감만제2동,6709,3815,4328,4784,56.86,64.51,71.31
부산광역시,남구,우암동,12728,7225,8160,8984,56.76,64.11,70.58
부산광역시,남구,문현제1동,13406,6863,7956,8847,51.19,59.35,65.99
부산광역시,남구,문현제2동,8458,4114,4671,5247,48.64,55.23,62.04
부산광역시,남구,문현제3동,15954,7164,8420,9637,44.90,52.78,60.40
부산광역시,남구,문현제4동,8121,4697,5283,5715,57.84,65.05,70.37
부산광역시,북구,구포제1동,16136,8156,9118,10117,50.55,56.51,62.70
