시도명,시군구명,행정동명,행정동별_total,현재,5년후,10년후,현재_고령인구비율,5년후_고령인구비율,10년후_고령인구비율
서울특별시,종로구,청운효자동,11904,2965,3816,4885,24.91,32.06,41.04
서울특별시,종로구,사직동,9370,2488,3195,4030,26.55,34.10,43.01
서울특별시,종로구,삼청동,2441,830,1013,1209,34.00,41.50,49.53
서울특별시,종로구,부암동,9488,2547,3340,4229,26.84,35.20,44.57
서울특별시,종로구,평창동,18087,4969,6529,8227,27.47,36.10,45.49
서울특별시,종로구,무악동,8210,2043,2655,3466,24.88,32.34,42.22
서울특별시,종로구,교남동,9989,2299,2999,3893,23.02,30.02,38.97
서울특별시,종로구,가회동,4045,1184,1495,1892,29.27,36.96,46.77
서울특별시,종로구,종로1.2.3.4가동,7225,2680,3393,3989,37.09,46.96,55.21
서울특별시,종로구,종로5.6가동,5080,1486,1942,2371,29.25,38.23,46.67
서울특별시,종로구,이화동,7226,1865,2385,2947,25.81,33.01,40.78
서울특별시,종로구,혜화동,16383,3648,4689,6012,22.27,28.62,36.70
서울특별시,종로구,창신제1동,4908,1830,2364,2815,37.29,48.17,57.36
서울특별시,종로구,창신제2동,7866,2558,3456,4312,32.52,43.94,54.82
서울특별시,종로구,창신제3동,6513,1820,2413,3039,27.94,37.05,46.66
서울특별시,종로구,숭인제1동,5843,1713,2301,2859,29.32,39.38,48.93
서울특별시,종로구,숭인제2동,9697,2446,3249,4076,25.22,33.51,42.03
서울특별시,중구,소공동,2252,389,510,695,17.27,22.65,30.86
서울특별시,중구,회현동,4742,1839,2297,2715,38.78,48.44,57.25
서울특별시,중구,명동,2849,993,1213,1476,34.85,42.58,51.81
서울특별시,중구,필동,4043,1226,1509,1815,30.32,37.32,44.89
서울특별시,중구,장충동,4608,1132,1406,1740,24.57,30.51,37.76
서울특별시,중구,광희동,5244,1582,2009,2369,30.17,38.31,45.18
서울특별시,중구,을지로동,1746,661,815,935,37.86,46.68,53.55
서울특별시,중구,신당동,7698,2079,2689,3396,27.01,34.93,44.12
서울특별시,중구,다산동,13723,3921,4971,6155,28.57,36.22,44.85
서울특별시,중구,약수동,16638,5322,6699,8096,31.99,40.26,48.66
서울특별시,중구,청구동,13521,3954,5031,6231,29.24,37.21,46.08
서울특별시,중구,신당제5동,10303,2588,3510,4441,25.12,34.07,43.10
서울특별시,중구,동화동,10219,2814,3743,4725,27.54,36.63,46.24
서울특별시,중구,황학동,12623,2859,3700,4637,22.65,29.31,36.73
서울특별시,중구,중림동,11964,2970,3888,4839,24.82,32.50,40.45
서울특별시,용산구,후암동,16765,4321,5574,7070,25.77,33.25,42.17
서울특별시,용산구,용산2가동,9399,2820,3451,4194,30.00,36.72,44.62
서울특별시,용산구,남영동,7351,2360,3167,3942,32.10,43.08,53.63
서울특별시,용산구,청파동,19459,4709,6150,7769,24.20,31.60,39.92
서울특별시,용산구,원효로제1동,16003,2951,3976,5181,18.44,24.85,32.38
서울특별시,용산구,원효로제2동,13719,3349,4403,5605,24.41,32.09,40.86
서울특별시,용산구,효창동,10059,2163,2866,3732,21.50,28.49,37.10
서울특별시,용산구,용문동,11818,3053,3963,5017,25.83,33.53,42.45
서울특별시,용산구,한강로동,21662,4748,6421,8149,21.92,29.64,37.62
서울특별시,용산구,이촌제1동,25750,6049,7884,10423,23.49,30.62,40.48
서울특별시,용산구,이촌제2동,8242,2530,3184,3876,30.70,38.63,47.03
서울특별시,용산구,이태원제1동,6332,1915,2415,2914,30.24,38.14,46.02
서울특별시,용산구,이태원제2동,8947,2486,3075,3745,27.79,34.37,41.86
서울특별시,용산구,한남동,20329,5305,6756,8476,26.10,33.23,41.69
서울특별시,용산구,서빙고동,12997,3012,3952,5280,23.17,30.41,40.62
서울특별시,용산구,보광동,13337,3837,5057,6229,28.77,37.92,46.70
서울특별시,성동구,왕십리제2동,16397,3815,5088,6469,23.27,31.03,39.45
서울특별시,성동구,왕십리도선동,26491,5672,7740,10001,21.41,29.22,37.75
서울특별시,성동구,마장동,22375,5813,7534,9366,25.98,33.67,41.86
서울특별시,성동구,사근동,12062,2070,2668,3371,17.16,22.12,27.95
서울특별시,성동구,행당제1동,13923,3172,4212,5388,22.78,30.25,38.70
서울특별시,성동구,행당제2동,23180,5553,7233,9482,23.96,31.20,40.91
서울특별시,성동구,응봉동,15299,3550,4588,6024,23.20,29.99,39.38
서울특별시,성동구,금호1가동,15119,3883,4988,6232,25.68,32.99,41.22
서울특별시,성동구,금호2.3가동,22631,5625,7339,9260,24.86,32.43,40.92
서울특별시,성동구,금호4가동,14293,3487,4467,5602,24.40,31.25,39.19
서울특별시,성동구,옥수동,25910,6099,7909,9919,23.54,30.52,38.28
서울특별시,성동구,성수1가제1동,16493,3747,5224,6777,22.72,31.67,41.09
서울특별시,성동구,성수1가제2동,12471,2948,3840,4906,23.64,30.79,39.34
서울특별시,성동구,성수2가제1동,15675,4563,6097,7432,29.11,38.90,47.41
서울특별시,성동구,성수2가제3동,10707,2790,3651,4516,26.06,34.10,42.18
서울특별시,성동구,송정동,10479,2836,3800,4722,27.06,36.26,45.06
서울특별시,성동구,용답동,11568,3070,4091,5115,26.54,35.36,44.22
서울특별시,광진구,화양동,23687,3239,4180,5320,13.67,17.65,22.46
서울특별시,광진구,군자동,19529,4464,5827,7211,22.86,29.84,36.92
서울특별시,광진구,중곡제1동,15401,3796,4961,6239,24.65,32.21,40.51
서울특별시,광진구,중곡제2동,21334,5068,6830,8529,23.76,32.01,39.98
서울특별시,광진구,중곡제3동,16071,4320,5727,7126,26.88,35.64,44.34
서울특별시,광진구,중곡제4동,28442,7938,10508,13126,27.91,36.95,46.15
서울특별시,광진구,능동,11285,2383,3057,3835,21.12,27.09,33.98
서울특별시,광진구,광장동,34545,5713,8043,11482,16.54,23.28,33.24
서울특별시,광진구,자양제1동,22183,5225,6881,8727,23.55,31.02,39.34
서울특별시,광진구,자양제2동,24469,6184,8173,10215,25.27,33.40,41.75
서울특별시,광진구,자양제3동,27909,6417,8645,11133,22.99,30.98,39.89
서울특별시,광진구,자양제4동,18007,5396,6916,8376,29.97,38.41,46.52
서울특별시,광진구,구의제1동,22899,4796,6375,8140,20.94,27.84,35.55
서울특별시,광진구,구의제2동,26423,6472,8614,11025,24.49,32.60,41.73
서울특별시,광진구,구의제3동,28523,6318,8552,11096,22.15,29.98,38.90
서울특별시,동대문구,용신동,32540,8283,10629,12974,25.45,32.66,39.87
서울특별시,동대문구,제기동,24650,7922,9712,11682,32.14,39.40,47.39
서울특별시,동대문구,전농제1동,29059,8083,10431,12903,27.82,35.90,44.40
서울특별시,동대문구,전농제2동,18437,5283,6816,8484,28.65,36.97,46.02
서울특별시,동대문구,답십리제1동,28956,6169,8217,10383,21.30,28.38,35.86
서울특별시,동대문구,답십리제2동,28123,8017,10342,12757,28.51,36.77,45.36
서울특별시,동대문구,장안제1동,38158,9734,12604,15659,25.51,33.03,41.04
서울특별시,동대문구,장안제2동,32461,7728,9992,12667,23.81,30.78,39.02
서울특별시,동대문구,청량리동,18761,7334,8994,10526,39.09,47.94,56.11
서울특별시,동대문구,회기동,10581,2110,2671,3320,19.94,25.24,31.38
서울특별시,동대문구,휘경제1동,14009,2973,3836,4892,21.22,27.38,34.92
서울특별시,동대문구,휘경제2동,24150,5697,7316,9236,23.59,30.29,38.24
서울특별시,동대문구,이문제1동,18156,4376,5553,6950,24.10,30.58,38.28
서울특별시,동대문구,이문제2동,19941,5525,7109,8898,27.71,35.65,44.62
서울특별시,중랑구,면목제2동,24095,6865,9306,11577,28.49,38.62,48.05
서울특별시,중랑구,면목제4동,18938,5566,7111,8804,29.39,37.55,46.49
서울특별시,중랑구,면목제5동,14843,3435,4602,5839,23.14,31.00,39.34
서울특별시,중랑구,면목본동,33427,9137,12117,15242,27.33,36.25,45.60
서울특별시,중랑구,면목제7동,21713,6438,8343,10201,29.65,38.42,46.98
서울특별시,중랑구,면목제3.8동,24591,7404,9614,11942,30.11,39.10,48.56
서울특별시,중랑구,상봉제1동,23877,6000,8115,10152,25.13,33.99,42.52
서울특별시,중랑구,상봉제2동,20250,4547,6041,7565,22.45,29.83,37.36
서울특별시,중랑구,중화제1동,19495,5505,7188,8672,28.24,36.87,44.48
서울특별시,중랑구,중화제2동,24829,7537,9927,12194,30.36,39.98,49.11
서울특별시,중랑구,묵제1동,34403,8765,11312,14316,25.48,32.88,41.61
서울특별시,중랑구,묵제2동,18621,5264,6848,8430,28.27,36.78,45.27
서울특별시,중랑구,망우본동,35148,9691,12613,15451,27.57,35.89,43.96
서울특별시,중랑구,망우제3동,16210,5108,6742,8288,31.51,41.59,51.13
서울특별시,중랑구,신내1동,38381,10350,13450,16642,26.97,35.04,43.36
서울특별시,중랑구,신내2동,20222,5978,7608,9413,29.56,37.62,46.55
서울특별시,성북구,성북동,16501,4259,5490,7006,25.81,33.27,42.46
서울특별시,성북구,삼선동,22878,5590,7213,9308,24.43,31.53,40.69
서울특별시,성북구,동선동,15499,3115,3969,5053,20.10,25.61,32.60
서울특별시,성북구,돈암제1동,14542,4139,5385,6751,28.46,37.03,46.42
서울특별시,성북구,돈암제2동,23725,5143,6971,9320,21.68,29.38,39.28
서울특별시,성북구,안암동,15194,2982,3868,4935,19.63,25.46,32.48
서울특별시,성북구,보문동,15408,3571,4706,6083,23.18,30.54,39.48
서울특별시,성북구,정릉제1동,18102,4433,5691,7279,24.49,31.44,40.21
서울특별시,성북구,정릉제2동,22921,6390,8140,10198,27.88,35.51,44.49
서울특별시,성북구,정릉제3동,15269,4602,5676,6907,30.14,37.17,45.24
서울특별시,성북구,정릉제4동,24745,6875,8821,11048,27.78,35.65,44.65
서울특별시,성북구,길음제1동,34973,6447,8420,11710,18.43,24.08,33.48
서울특별시,성북구,길음제2동,20648,4281,5733,7633,20.73,27.77,36.97
서울특별시,성북구,종암동,38522,9679,12565,16014,25.13,32.62,41.57
서울특별시,성북구,월곡제1동,26215,6826,8707,11070,26.04,33.21,42.23
서울특별시,성북구,월곡제2동,19434,5167,6563,8136,26.59,33.77,41.86
서울특별시,성북구,장위제1동,24154,6131,8170,10322,25.38,33.82,42.73
서울특별시,성북구,장위제2동,13697,4364,5516,6742,31.86,40.27,49.22
서울특별시,성북구,장위제3동,15746,3296,4411,5785,20.93,28.01,36.74
서울특별시,성북구,석관동,34977,10366,13286,16216,29.64,37.98,46.36
