시도명,시군구명,시군구별_total,현재,5년후,10년후,현재_고령인구비율,5년후_고령인구비율,10년후_고령인구비율,
경상북도,상주시,95771,41951,50540,58044,43.80,52.77,60.61,
경상북도,성주군,42944,20230,24778,28234,47.11,57.70,65.75,
경상북도,안동시,156182,55371,68049,81019,35.45,43.57,51.87,
경상북도,영덕군,35166,17903,21113,23879,50.91,60.04,67.90,
경상북도,영양군,16256,8296,9858,11116,51.03,60.64,68.38,
경상북도,영주시,101599,39546,48160,56750,38.92,47.40,55.86,
경상북도,영천시,101552,41045,50365,59008,40.42,49.60,58.11,
경상북도,예천군,55538,22550,26722,30416,40.60,48.11,54.77,
경상북도,울릉군,8977,3522,4461,5326,39.23,49.69,59.33,
경상북도,울진군,47483,19042,23312,27328,40.10,49.10,57.55,
경상북도,의성군,50560,28386,32959,36518,56.14,65.19,72.23,
경상북도,청도군,41781,21896,25803,28954,52.41,61.76,69.30,
경상북도,청송군,24538,12754,15255,17165,51.98,62.17,69.95,
경상북도,칠곡군,113455,28348,37804,48480,24.99,33.32,42.73,
경상북도,포항시 남구,229821,65358,85276,106055,28.44,37.11,46.15,
경상북도,포항시 북구,271870,76637,100495,124626,28.19,36.96,45.84,
광주광역시,광산구,403407,63523,92847,130691,15.75,23.02,32.40,
광주광역시,남구,215008,56152,71678,89116,26.12,33.34,41.45,
광주광역시,동구,103081,31143,38748,46558,30.21,37.59,45.17,
광주광역시,북구,427178,101757,136257,173373,23.82,31.90,40.59,
광주광역시,서구,289789,65644,88521,115307,22.65,30.55,39.79,
대구광역시,남구,142437,48076,59805,72018,33.75,41.99,50.56,
대구광역시,달서구,542328,132282,180885,233264,24.39,33.35,43.01,
대구광역시,달성군,262372,55615,75655,96741,21.20,28.84,36.87,
대구광역시,동구,341498,101187,129062,157684,29.63,37.79,46.17,
대구광역시,북구,437284,102579,139166,180939,23.46,31.83,41.38,
대구광역시,서구,163042,57805,74711,89593,35.45,45.82,54.95,
대구광역시,수성구,415829,101071,134901,175837,24.31,32.44,42.29,
대구광역시,중구,75704,21292,26587,32475,28.13,35.12,42.90,
대전광역시,대덕구,175294,46019,61800,79355,26.25,35.26,45.27,
대전광역시,동구,220860,64015,81322,100104,28.98,36.82,45.32,
대전광역시,서구,472417,100062,134781,176586,21.18,28.53,37.38,
대전광역시,유성구,351989,59739,84260,114627,16.97,23.94,32.57,
대전광역시,중구,229497,66970,85211,105645,29.18,37.13,46.03,
부산광역시,강서구,143429,27963,36276,45127,19.50,25.29,31.46,
부산광역시,금정구,225608,72637,92220,111179,32.20,40.88,49.28,
부산광역시,기장군,176570,42150,53550,67305,23.87,30.33,38.12,
부산광역시,남구,260581,78410,98086,120426,30.09,37.64,46.21,
부산광역시,동구,88283,32643,39635,47028,36.98,44.90,53.27,
부산광역시,동래구,274134,76407,97242,120378,27.87,35.47,43.91,
부산광역시,부산진구,351154,104822,132536,160979,29.85,37.74,45.84,
부산광역시,북구,281198,81809,108466,133619,29.09,38.57,47.52,
부산광역시,사상구,206804,64063,84108,102404,30.98,40.67,49.52,
부산광역시,사하구,305762,93289,119449,146152,30.51,39.07,47.80,
부산광역시,서구,104323,38009,46495,54969,36.43,44.57,52.69,
부산광역시,수영구,174661,54839,67753,81785,31.40,38.79,46.82,
부산광역시,연제구,206932,61157,77181,94590,29.55,37.30,45.71,
부산광역시,영도구,109660,44002,53358,62392,40.13,48.66,56.90,
부산광역시,중구,40596,15461,18778,22124,38.09,46.26,54.50,
부산광역시,해운대구,393809,108059,140532,177285,27.44,35.69,45.02,
서울특별시,강남구,532577,112234,147106,194590,21.07,27.62,36.54,
서울특별시,강동구,461300,112687,147201,184224,24.43,31.91,39.94,
서울특별시,강북구,297384,91061,115730,142502,30.62,38.92,47.92,
서울특별시,강서구,573046,138282,178564,222299,24.13,31.16,38.79,
서울특별시,관악구,486375,113347,145131,180158,23.30,29.84,37.04,
서울특별시,광진구,340707,77729,103289,131580,22.81,30.32,38.62,
서울특별시,구로구,396017,104203,134208,166391,26.31,33.89,42.02,
서울특별시,금천구,231098,61234,81025,100335,26.50,35.06,43.42,
서울특별시,노원구,510486,129454,168682,216305,25.36,33.04,42.37,
서울특별시,도봉구,316098,94084,121052,149908,29.76,38.30,47.42,
서울특별시,동대문구,337982,89234,114222,141331,26.40,33.80,41.82,
