시도명,시군구명,시군구별_total,현재,5년후,10년후,현재_고령인구비율,5년후_고령인구비율,10년후_고령인구비율
경상북도,영덕군,35166,23879,25876,27474,67.90,73.58,78.13
경상북도,영양군,16256,11116,12004,12687,68.38,73.84,78.05
경상북도,영주시,101599,56750,64123,70139,55.86,63.11,69.04
경상북도,영천시,101552,59008,65708,71128,58.11,64.70,70.04
경상북도,예천군,55538,30416,33997,37684,54.77,61.21,67.85
경상북도,울릉군,8977,5326,5984,6540,59.33,66.66,72.85
경상북도,울진군,47483,27328,30550,33268,57.55,64.34,70.06
경상북도,의성군,50560,36518,38941,40916,72.23,77.02,80.93
경상북도,청도군,41781,28954,31291,33190,69.30,74.89,79.44
경상북도,청송군,24538,17165,18447,19380,69.95,75.18,78.98
경상북도,칠곡군,113455,48480,59055,69033,42.73,52.05,60.85
경상북도,포항시 남구,229821,106055,124086,141483,46.15,53.99,61.56
경상북도,포항시 북구,271870,124626,145414,165651,45.84,53.49,60.93
광주광역시,광산구,403407,130691,169306,205625,32.40,41.97,50.97
광주광역시,남구,215008,89116,106472,123587,41.45,49.52,57.48
광주광역시,동구,103081,46558,53555,60675,45.17,51.95,58.86
광주광역시,북구,427178,173373,207285,239299,40.59,48.52,56.02
광주광역시,서구,289789,115307,139817,161977,39.79,48.25,55.89
대구광역시,남구,142437,72018,82141,91169,50.56,57.67,64.01
대구광역시,달서구,542328,233264,278088,317603,43.01,51.28,58.56
대구광역시,달성군,262372,96741,117636,141699,36.87,44.84,54.01
대구광역시,동구,341498,157684,183254,208600,46.17,53.66,61.08
대구광역시,북구,437284,180939,218126,250580,41.38,49.88,57.30
대구광역시,서구,163042,89593,101049,110634,54.95,61.98,67.86
대구광역시,수성구,415829,175837,213460,245319,42.29,51.33,59.00
대구광역시,중구,75704,32475,37870,43187,42.90,50.02,57.05
대전광역시,대덕구,175294,79355,93475,105322,45.27,53.32,60.08
대전광역시,동구,220860,100104,117339,133241,45.32,53.13,60.33
대전광역시,서구,472417,176586,215794,252710,37.38,45.68,53.49
대전광역시,유성구,351989,114627,144624,174729,32.57,41.09,49.64
대전광역시,중구,229497,105645,124092,140528,46.03,54.07,61.23
부산광역시,강서구,143429,45127,55741,71777,31.46,38.86,50.04
부산광역시,금정구,225608,111179,126888,141945,49.28,56.24,62.92
부산광역시,기장군,176570,67305,82704,100424,38.12,46.84,56.87
부산광역시,남구,260581,120426,141080,160553,46.21,54.14,61.61
부산광역시,동구,88283,47028,53006,58650,53.27,60.04,66.43
부산광역시,동래구,274134,120378,142433,164447,43.91,51.96,59.99
부산광역시,부산진구,351154,160979,186162,210676,45.84,53.01,60.00
부산광역시,북구,281198,133619,153697,173042,47.52,54.66,61.54
부산광역시,사상구,206804,102404,116763,130556,49.52,56.46,63.13
부산광역시,사하구,305762,146152,168802,190819,47.80,55.21,62.41
부산광역시,서구,104323,54969,62216,68963,52.69,59.64,66.11
부산광역시,수영구,174661,81785,94095,106638,46.82,53.87,61.05
부산광역시,연제구,206932,94590,110097,126068,45.71,53.20,60.92
부산광역시,영도구,109660,62392,70033,76744,56.90,63.86,69.98
부산광역시,중구,40596,22124,24899,27211,54.50,61.33,67.03
부산광역시,해운대구,393809,177285,209854,240579,45.02,53.29,61.09
