순위,상품코드,판매상품ID,상품명,정가,판매가,할인율,적립율,적립예정포인트,인물,출판사,발행(출시)일자,분야
1,9788954655972,S000000780352,여행의 이유,"13,500","12,150",10%,5%,670,김영하,문학동네,20190417,시/에세이
2,9791187498384,S000001902595,고요할수록 밝아지는 것들,"15,000","13,500",10%,5%,750,혜민,수오서재,20181206,시/에세이
3,9791187119845,S000001897363,나는 나로 살기로 했다,"13,800","12,420",10%,5%,690,김수현,마음의숲,20200316,시/에세이
5,9791130620459,S000001686647,철학은 어떻게 삶의 무기가 되는가,"16,000","14,400",10%,5%,800,야마구치 슈,다산초당,20190121,인문
6,9788998274931,S000001629834,봉제인형 살인사건,"15,000","13,500",10%,5%,750,다니엘 콜,북플라자,20171020,소설
7,9791162540640,S000001813652,아주 작은 습관의 힘,"16,000","14,400",10%,5%,800,제임스 클리어,비즈니스북스,20190226,자기계발
8,9791157280292,S000001752581,꽃을 보듯 너를 본다,"11,000","9,900",10%,5%,550,나태주,지혜,20201130,시/에세이
9,9788998274795,S000001629821,돌이킬 수 없는 약속,"15,000","13,500",10%,5%,750,야쿠마루 가쿠,북플라자,20170202,소설
10,9791164131686,S000001825766,흔한남매 1,"11,000","9,900",10%,5%,550,흔한남매 외,미래엔아이세움,20190620,어린이(초등)
11,9788925563350,S000000478815,"곰돌이 푸, 행복한 일은 매일 있어(포레스트 에디션)","14,800","13,320",10%,5%,740,곰돌이 푸 ,알에이치코리아,20221014,시/에세이
12,9788965422785,S000001020219,해커스 토익 기출보카 TOEIC VOCA(토익보카) 단어장,"12,900","11,610",10%,5%,640,David Cho,해커스어학연구소,20220314,외국어
13,9788937473135,S000000620596,82년생 김지영,"13,000","11,700",10%,5%,650,조남주,민음사,20161014,소설
14,9791196067694,S000001971407,12가지 인생의 법칙,"16,800","15,120",10%,5%,840,조던 B. 피터슨,메이븐,20181030,인문
15,9791195522125,S000001963487,언어의 온도(170만부 기념 에디션),"13,800","12,420",10%,5%,690,이기주,말글터,20160819,시/에세이
16,9791196316808,S000001974802,공부머리 독서법,"16,500","14,850",10%,5%,820,최승필,책구루,20180503,인문
17,9788901223032,S000000407525,하마터면 열심히 살 뻔했다,"15,000","13,500",10%,5%,750,하완,웅진지식하우스,20180423,시/에세이
18,9791135422225,S000001707724,50대 사건으로 보는 돈의 역사,"17,800","16,020",10%,5%,890,홍춘욱,로크미디어,20190424,경제/경영
19,9788932919676,S000000582014,죽음 1,"15,800","14,220",10%,5%,790,베르나르 베르베르,열린책들,20190530,소설
21,9788970873268,S000001087551,반일 종족주의,"20,000","18,000",10%,5%,"1,000",이영훈 외,미래사,20190710,정치/사회
22,9788934972464,S000000597165,사피엔스,"22,000","19,800",10%,5%,"1,100",유발 하라리,김영사,20151124,인문
23,9788965746669,S000001026048,당신이 옳다,"17,500","15,750",10%,5%,870,정혜신,해냄출판사,20181010,인문
24,9791187165460,S000001898255,말센스,"14,500","13,050",10%,5%,720,셀레스트 헤들리,스몰빅라이프,20190225,자기계발
25,9788965135586,S000001016020,유럽 도시 기행 1,"16,500","14,850",10%,5%,820,유시민,생각의길,20190709,인문
26,9788984373617,S000001310180,아가씨와 밤,"14,500","13,050",10%,5%,720,기욤 뮈소,밝은세상,20181126,소설
27,9788936434267,S000000610625,아몬드,"14,000","12,600",10%,5%,700,손원평,창비,20170331,소설
28,9788934985068,S000000597791,팩트풀니스,"19,800","17,820",10%,5%,990,한스 로슬링 외,김영사,20190310,인문
29,9791164131914,S000001825786,추리 천재 엉덩이 탐정 8: 괴도와 납치된 신부 사건,"12,000","10,800",10%,5%,600,트롤,미래엔아이세움,20190725,어린이(초등)
30,9791196484224,S000001977025,참 소중한 너라서,"15,800","14,220",10%,5%,790,김지훈,진심의꽃한송이,20181205,시/에세이
31,9788933870792,S000000588837,설민석의 삼국지 1,"22,000","19,800",10%,5%,"1,100",설민석,세계사,20190717,인문
32,9788954653817,S000000780245,"걷는 사람, 하정우","15,500","13,950",10%,5%,770,하정우,문학동네,20181123,시/에세이
33,9791158883591,S000001772245,부자 아빠 가난한 아빠 1(20주년 특별 기념판),"17,000","15,300",10%,5%,850,로버트 기요사키,민음인,20221028,경제/경영
34,9788965746829,S000001026063,천년의 질문 1,"16,500","14,850",10%,5%,820,조정래,해냄출판사,20190611,소설
36,9788972756194,S000001123530,나미야 잡화점의 기적,"14,800","13,320",10%,5%,740,히가시노 게이고,현대문학,20121219,소설
37,9788990982773,S000001461139,인어가 잠든 집,"17,800","16,020",10%,5%,890,히가시노 게이고,재인,20190228,소설
38,9791196797706,S000001980665,지쳤거나 좋아하는 게 없거나,"13,500","12,150",10%,5%,670,글배우,강한별,20190904,시/에세이
40,9788959895526,S000000912538,트렌드 코리아 2019,"17,000","15,300",10%,5%,850,김난도 외,미래의창,20181026,경제/경영
41,9791164130764,S000001825730,추리 천재 엉덩이 탐정과 카레사건,"12,000","10,800",10%,5%,600,트롤,미래엔아이세움,20190501,어린이(초등)
42,9788933870693,S000000588832,설민석의 조선왕조실록,"22,000","19,800",10%,5%,"1,100",설민석,세계사,20160720,역사/문화
43,9791196394509,S000001975821,죽고 싶지만 떡볶이는 먹고 싶어,"13,800","12,420",10%,5%,690,백세희,흔,20180620,시/에세이
44,9791187962540,S000001908370,심리학이 이렇게 쓸모 있을 줄이야,"13,000","11,700",10%,5%,650,류쉬안,다연,20190325,자기계발
45,9788954637756,S000000779409,개인주의자 선언,"13,500","12,150",10%,5%,670,문유석,문학동네,20220315,인문
46,9791164450084,S000001829710,빨강 머리 앤,"16,800","15,120",10%,5%,840,루시 모드 몽고메리,더모던,20190510,소설
47,9791130621968,S000001686681,역사의 쓸모,"15,000","13,500",10%,5%,750,최태성,다산초당,20191122,인문
49,9791190065672,S000001934899,"박막례, 이대로 죽을 순 없다","14,800","13,320",10%,5%,740,박막례 외,위즈덤하우스,20190531,시/에세이
50,9788965707691,S000001024778,포노 사피엔스,"16,800","15,120",10%,5%,840,최재붕,쌤앤파커스,20190312,경제/경영
51,9788965132288,S000001015794,어떻게 살 것인가,"15,000","13,500",10%,5%,750,유시민,생각의길,20130313,인문
52,9791186757093,S000001891815,자존감 수업,"14,000","12,600",10%,5%,700,윤홍균,심플라이프,20160901,인문
54,9788931588545,S000000562185,수미네 반찬 1(한정판 리커버 에디션),"17,000","15,300",10%,5%,850,김수미 외,성안당,20191111,요리
55,9788952795090,S000000735420,104층 나무 집,"12,000","10,800",10%,5%,600,앤디 그리피스,시공주니어,20190110,어린이(초등)
56,9791135442414,S000001707879,당신은 뇌를 고칠 수 있다,"19,800","17,820",10%,5%,990,톰 오브라이언,브론스테인,20190821,건강
57,9791185716435,S000001872825,백년을 살아보니,"15,000","13,500",10%,5%,750,김형석,덴스토리(Denstory),20160801,인문
58,9788970656588,S000001080287,나도 아직 나를 모른다,"14,800","13,320",10%,5%,740,허지원,홍익출판사,20181025,인문
59,9788959896127,S000000912567,트렌드 코리아 2020,"18,000","16,200",10%,5%,900,김난도 외,미래의창,20191024,경제/경영
60,9788983711892,S000001290624,코스모스,"19,900","17,910",10%,5%,990,칼 세이건,사이언스북스,20100120,과학
61,9788954655811,S000000780346,제10회 젊은작가상 수상작품집(2019),"13,000","11,700",10%,5%,650,박상영 외,문학동네,20190405,소설
62,9791188874293,S000001919533,설민석의 한국사 대모험 10,"12,000","10,800",10%,5%,600,설민석 외,아이휴먼,20190507,어린이(초등)
63,9788970127248,S000001068676,총 균 쇠,"28,000","25,200",10%,5%,"1,400",재레드 다이아몬드,문학사상,20051219,역사/문화
64,9788965708322,S000001024811,직지 1,"14,000","12,600",10%,5%,700,김진명,쌤앤파커스,20190801,소설
65,9788965962823,S000001029325,골든아워 1,"15,800","14,220",10%,5%,790,이국종,흐름출판,20181002,시/에세이
66,9788957369364,S000000849165,무례한 사람에게 웃으며 대처하는 법,"13,800","12,420",10%,5%,690,정문정,가나출판사,20180108,시/에세이
67,9788950980726,S000000710596,타인의 시선을 의식해 힘든 나에게,"13,000","11,700",10%,5%,650,글배우,21세기북스,20190419,시/에세이
68,9788994702346,S000001554502,부의 추월차선,"15,000","13,500",10%,5%,750,엠제이 드마코,토트,20130820,경제/경영
69,9788932473901,S000000576524,이기적 유전자(40주년 기념판),"20,000","18,000",10%,5%,"1,000",리처드 도킨스,을유문화사,20181020,과학
70,9791162202913,S000001808641,모든 순간이 너였다,"13,800","12,420",10%,5%,690,하태완,위즈덤하우스,20180216,시/에세이
71,9788954651820,S000000780120,내게 무해한 사람,"13,500","12,150",10%,5%,670,최은영,문학동네,20190620,소설
73,9791189982140,S000001933933,"진이, 지니","14,000","12,600",10%,5%,700,정유정,은행나무,20190527,소설
74,9791196621957,S000001978694,사업을 한다는 것,"16,000","14,400",10%,5%,800,레이 크록,센시오,20190531,경제/경영
75,9791186900789,S000001894173,좋은지 나쁜지 누가 아는가,"15,000","13,500",10%,5%,750,류시화,더숲,20190311,시/에세이
76,9788972759546,S000001123798,마력의 태동,"14,000","12,600",10%,5%,700,히가시노 게이고,현대문학,20190130,소설
77,9791160507386,S000001792814,일 잘하는 사람은 단순하게 합니다,"15,000","13,500",10%,5%,750,박소연,더퀘스트,20190322,자기계발
78,9791135433245,S000001707787,인생의 마지막 순간에서,"16,500","14,850",10%,5%,820,샐리 티스데일,비잉(Being),20190619,시/에세이
79,9788925561820,S000000478717,가장 예쁜 생각을 너에게 주고 싶다,"15,000","13,500",10%,5%,750,나태주,알에이치코리아,20170607,시/에세이
80,9788901229614,S000000407639,초예측,"15,000","13,500",10%,5%,750,유발 하라리 외,웅진지식하우스,20190208,인문
81,9791160560510,S000001793709,열두 발자국,"16,800","15,120",10%,5%,840,정재승,어크로스,20180702,인문
82,9791187481539,S000001902227,앞으로 5년 한국의 미래 시나리오,"25,000","22,500",10%,5%,"1,250",최윤식 외,지식노마드,20190220,경제/경영
83,9788937837654,S000000625549,정리하는 뇌,"22,000","19,800",10%,5%,"1,100",대니얼 J. 레비틴,와이즈베리,20150622,인문
84,9788915102019,S000000447578,임신 출산 육아 대백과(2019~2020),"18,500","16,650",10%,5%,920,삼성출판사 편집부,삼성출판사,20190701,가정/육아
85,9791187962335,S000001908358,"아들아, 삶에 지치고 힘들 때 이 글을 읽어라","15,000","13,500",10%,5%,750,윤태진,다연,20190422,자기계발
86,9788952240491,S000000722353,세계에서 가장 자극적인 나라,"16,000","14,400",10%,5%,800,짐 로저스,살림,20190527,경제/경영
87,9788968331862,S000001056702,방구석 미술관,"16,800","15,120",10%,5%,840,조원재,블랙피쉬,20211221,예술/대중문화
88,9788996991342,S000001606967,미움받을 용기,"14,900","13,410",10%,5%,740,기시미 이치로 외,인플루엔셜,20141117,인문
90,9788950981983,S000000710671,2020 부의 지각변동,"17,000","15,300",10%,5%,850,박종훈,21세기북스,20190705,경제/경영
91,9791158161026,S000001764093,혼자가 혼자에게,"15,500","13,950",10%,5%,770,이병률,달,20190919,시/에세이
92,9788954655699,S000000780336,연필로 쓰기,"15,500","13,950",10%,5%,770,김훈,문학동네,20190327,시/에세이
93,9791196551926,S000001977855,연애 백문백답,"13,000","11,700",10%,5%,650,유민지,우리사이플래닛,20190220,시/에세이
94,9788950979836,S000000710548,"라이언, 내 곁에 있어줘","17,000","15,300",10%,5%,850,전승환,아르테(arte),20190228,시/에세이
95,9788965706908,S000001024738,초격차,"18,000","16,200",10%,5%,900,권오현 외,쌤앤파커스,20180910,경제/경영
96,9791164050277,S000001824800,숨,"16,500","14,850",10%,5%,820,테드 창,엘리,20190520,소설
96,9791156397830,S000001740139,Who? K-pop BTS,"12,800","11,520",10%,5%,640,강진희,다산어린이,20181224,어린이(초등)
98,9788997092772,S000001608586,말의 품격,"14,500","13,050",10%,5%,720,이기주,황소북스,20170529,인문
99,9791185952987,S000001876432,말 그릇,"15,000","13,500",10%,5%,750,김윤나,카시오페아,20170922,자기계발
100,9788935212224,S000000600498,댄 애리얼리 부의 감각,"18,000","16,200",10%,5%,900,댄 애리얼리 외,청림출판,20180725,경제/경영
101,9791186276600,S000001882269,걱정이 많아서 걱정인 당신에게,"15,000","13,500",10%,5%,750,한창욱,정민미디어,20181120,자기계발
102,9791160560640,S000001793714,아침에는 죽음을 생각하는 것이 좋다,"15,000","13,500",10%,5%,750,김영민,어크로스,20181130,인문
103,9788982641374,S000001275006,우린 너무 몰랐다,"18,000","16,200",10%,5%,900,김용옥,통나무,20190128,역사/문화
104,9788965707561,S000001024771,나는 습관을 조금 바꾸기로 했다,"15,000","13,500",10%,5%,750,사사키 후미오,쌤앤파커스,20190211,자기계발
105,9791190182560,S000001937018,인간 본성의 법칙,"32,000","28,800",10%,5%,"1,600",로버트 그린,위즈덤하우스,20190729,인문
106,9788901230801,S000000407673,나의 월급 독립 프로젝트,"18,000","16,200",10%,5%,900,유목민,리더스북,20190422,경제/경영
107,9788956058054,S000000814626,내가 확실히 아는 것들,"15,800","14,220",10%,5%,790,오프라 윈프리,북하우스,20141205,시/에세이
108,9788934982975,S000000597670,21세기를 위한 21가지 제언,"22,000","19,800",10%,5%,"1,100",유발 하라리,김영사,20180903,인문
109,9788965962205,S000001029294,라틴어 수업,"15,000","13,500",10%,5%,750,한동일,흐름출판,20190429,인문
