순위,상품코드,판매상품ID,상품명,정가,판매가,할인율,적립율,적립예정포인트,인물,출판사,발행(출시)일자,분야
110,9791130620893,S000001686656,돈 공부는 처음이라,"16,000","14,400",10%,5%,800,김종봉 외,다산북스,20190222,경제/경영
111,9788950979300,S000000710521,마법천자문 44: 죄를 씻어 내라! 목욕할 욕,"9,800","8,820",10%,5%,490,김현수,아울북,20190128,어린이(초등)
112,9791196372156,S000001975480,브랜드가 되어 간다는 것,"15,000","13,500",10%,5%,750,강민호,턴어라운드,20190402,경제/경영
114,9791156397267,S000001740125,Who? Special 손흥민,"12,800","11,520",10%,5%,640,강진희,다산어린이,20181015,어린이(초등)
115,9791186560976,S000001887775,"명견만리: 불평등, 병리, 금융, 지역 편","15,800","14,220",10%,5%,790,KBS <명견만리> 제작팀,인플루엔셜,20190225,경제/경영
116,9788937434488,S000000619590,노르웨이의 숲,"15,000","13,500",10%,5%,750,무라카미 하루키,민음사,20170807,소설
117,9791129703620,S000001679727,에어프라이어 만능 레시피북,"12,000","10,800",10%,5%,600,강지현,메가스터디북스(엔트리),20190201,요리
121,9791196484248,S000001977026,당신의 마음을 안아줄게요,"15,800","14,220",10%,5%,790,김지훈,진심의꽃한송이,20190222,시/에세이
122,9788925563367,S000000478816,"곰돌이 푸, 서두르지 않아도 괜찮아(포레스트 에디션)","14,800","13,320",10%,5%,740,곰돌이 푸 ,알에이치코리아,20221004,시/에세이
123,9791187993575,S000001908649,"앞으로 10년, 대한민국 부동산(2019-2029)","16,000","14,400",10%,5%,800,김장섭(조던),트러스트북스,20190210,경제/경영
124,9788990982575,S000001461127,가면산장 살인사건,"16,800","15,120",10%,5%,840,히가시노 게이고,재인,20140926,소설
125,9788972757573,S000001123660,라플라스의 마녀,"14,800","13,320",10%,5%,740,히가시노 게이고,현대문학,20160111,소설
126,9791187150473,S000001897880,하마터면 회계를 모르고 일할 뻔했다!,"16,800","15,120",10%,5%,840,김수헌 외,어바웃어북,20181115,경제/경영
127,9788934995791,S000000598413,"대변동: 위기, 선택, 변화","24,800","22,320",10%,5%,"1,240",재레드 다이아몬드,김영사,20190610,인문
128,9788954641630,S000000779649,쇼코의 미소,"12,000","10,800",10%,5%,600,최은영,문학동네,20190620,소설
129,9788972773276,S000001124111,하버드 100년 전통 말하기 수업,"14,800","13,320",10%,5%,740,류리나,리드리드출판,20190403,자기계발
130,9788937461033,S000000620240,인간 실격,"9,000","8,100",10%,5%,450,다자이 오사무,민음사,20120410,소설
131,9788965421030,S000001020123,해커스 보카(Hackers Vocabulary),"16,900","15,210",10%,5%,840,David Cho,해커스어학연구소,20211213,외국어
132,9788971998557,S000001111141,역사의 역사,"16,000","14,400",10%,5%,800,유시민,돌베개,20180625,역사/문화
133,9788950982249,S000000710684,"튜브, 힘낼지 말지는 내가 결정해","17,000","15,300",10%,5%,850,하상욱,아르테(arte),20190731,시/에세이
134,9791186639702,S000001889394,하고 싶은 대로 살아도 괜찮아,"13,000","11,700",10%,5%,650,윤정은,애플북스,20191104,시/에세이
135,9791158551957,S000001768412,해커스 OPIc 오픽 Advanced 공략,"15,900","14,310",10%,5%,790,해커스 오픽연구소,해커스,20210813,외국어
136,9788965422709,S000001020212,왕초보 영어회화 10분의 기적: 기초패턴으로 말하기,"11,900","10,710",10%,5%,590,해커스어학연구소,해커스어학연구소,20220221,외국어
137,9791162540633,S000001813651,그릿(50만부 판매 기념 리커버 골드에디션)(양장본 Hardcover),"18,000","16,200",10%,5%,900,앤절라 더크워스,비즈니스북스,20221219,자기계발
138,9791186560952,S000001887774,이제껏 너를 친구라고 생각했는데,"15,000","13,500",10%,5%,750,성유미,인플루엔셜,20190315,인문
139,9791189737924,S000001930766,원피스 91: 사무라이 나라의 모험,"5,000","4,500",10%,5%,250,Eiichiro Oda,대원씨아이,20190228,만화
140,9791159036514,S000001774493,데미안(리커버 한정판)(초판본)(1919년 오리지널 초판본 패브릭 에디션),"12,000","10,800",10%,5%,600,헤르만 헤세,더스토리,20171030,소설
141,9788960497498,S000000928045,미국 영어 회화 문법 1: 명사 관련 활용,"15,000","13,500",10%,5%,750,김아영,사람in,20190225,외국어
142,9788950979317,S000000710522,Go Go 카카오프렌즈 6: 이탈리아,"12,000","10,800",10%,5%,600,김미영,아울북,20190129,어린이(초등)
143,9791189709815,S000001930197,여자 둘이 살고 있습니다,"14,800","13,320",10%,5%,740,김하나 외,위즈덤하우스,20190222,시/에세이
144,9791135444968,S000001707909,베스트 셀프,"18,700","16,830",10%,5%,930,마이크 베이어,안드로메디안,20190918,자기계발
145,9791189001261,S000001921644,설민석의 세계사 대모험 1,"12,000","10,800",10%,5%,600,설민석 외,단꿈아이,20190405,어린이(초등)
146,9791196756901,S000001980219,어떻게 살아야 할지 막막한 너에게,"15,500","13,950",10%,5%,770,우쥔,오월구일,20190816,자기계발
147,9788936434120,S000000610612,소년이 온다,"14,000","12,600",10%,5%,700,한강,창비,20140519,소설
148,9788932034942,S000000570399,우리가 함께 장마를 볼 수도 있겠습니다,"12,000","10,800",10%,5%,600,박준,문학과지성사,20181213,시/에세이
149,9791188073382,S000001910054,축구를 하며 생각한 것들,"18,000","16,200",10%,5%,900,손흥민,브레인스토어,20190712,시/에세이
150,9788931587036,S000000562049,수미네 반찬 2,"17,000","15,300",10%,5%,850,김수미 외,성안당,20190410,요리
151,9788960516175,S000000928872,검사내전,"15,000","13,500",10%,5%,750,김웅,부키,20180119,정치/사회
152,9788936433697,S000000610577,위저드 베이커리,"12,800","11,520",10%,5%,640,구병모,창비,20140210,소설
154,9791189584269,S000001928456,말투 때문에 말투 덕분에,"13,000","11,700",10%,5%,650,이오타 다쓰나리,포레스트북스,20190603,자기계발
155,9791160507119,S000001792798,부동산 상식사전,"17,500","15,750",10%,5%,870,백영록,길벗,20190130,경제/경영
156,9788936437978,S000000610788,대도시의 사랑법,"14,000","12,600",10%,5%,700,박상영,창비,20190628,소설
157,9791158510619,S000001767887,타이탄의 도구들(블랙 에디션),"18,000","16,200",10%,5%,900,팀 페리스,토네이도,20220620,자기계발
158,9788982814471,S000001279906,연금술사,"12,000","10,800",10%,5%,600,파울로 코엘료,문학동네,20181205,소설
159,9791160508079,S000001792848,월급쟁이 재테크 상식사전,"17,500","15,750",10%,5%,870,우용표,길벗,20190607,경제/경영
160,9791195322183,S000001960275,완벽하지 않은 것들에 대한 사랑,"14,800","13,320",10%,5%,740,혜민,수오서재,20160203,시/에세이
161,9791186494431,S000001886110,세상에서 제일 재밌는 종이접기,"14,000","12,600",10%,5%,700,네모아저씨 이원표,슬로래빗,20180824,가정/육아
163,9788925566009,S000000478977,편지,"14,800","13,320",10%,5%,740,히가시노 게이고,알에이치코리아,20190415,소설
164,9788937460449,S000000620181,데미안,"8,000","7,200",10%,5%,400,헤르만 헤세,민음사,20090120,소설
165,9788959191963,S000000889707,내 어머니 이야기 1,"15,500","13,950",10%,5%,770,김은성,애니북스,20190111,만화
166,9791158360375,S000001766001,알사탕,"12,000","10,800",10%,5%,600,백희나,책읽는곰,20170325,유아(0~7세)
167,9788937437564,S000000619722,참을 수 없는 존재의 가벼움,"15,000","13,500",10%,5%,750,밀란 쿤데라,민음사,20180620,소설
168,9791196073152,S000001971470,지성의 돈되는 부동산 1인법인,"19,000","17,100",10%,5%,950,지성,잇콘,20190113,경제/경영
169,9788965422655,S000001020209,영어회화 10분의 기적: 패턴으로 말하기,"12,900","11,610",10%,5%,640,해커스 어학연구소,해커스어학연구소,20210215,외국어
170,9791162241349,S000001810106,유튜브 동영상 편집 with 프리미어 프로,"19,800","17,820",10%,5%,990,하지원,한빛미디어,20181130,컴퓨터/IT
171,9791189279219,S000001925274,150년 하버드 글쓰기 비법(리커버),"14,500","13,050",10%,5%,720,송숙희,유노북스,20200728,자기계발
172,9788965708063,S000001024798,시간은 흐르지 않는다,"16,000","14,400",10%,5%,800,카를로 로벨리,쌤앤파커스,20190610,과학
173,9791130621388,S000001686668,결단,"17,000","15,300",10%,5%,850,롭 무어,다산북스,20190412,경제/경영
174,9791188380381,S000001913840,좀비고등학교 코믹스 12,"9,800","8,820",10%,5%,490,유대영,겜툰,20190425,어린이(초등)
175,9788986836240,S000001369407,왜 나는 너를 사랑하는가,"12,000","10,800",10%,5%,600,알랭 드 보통,청미래,20130115,소설
176,9788934977841,S000000597410,호모 데우스,"22,000","19,800",10%,5%,"1,100",유발 하라리,김영사,20170519,인문
177,9788901090184,S000000403626,클루지,"13,800","12,420",10%,5%,690,개리 마커스,갤리온,20081124,인문
178,9791170400011,S000001860151,잊기 좋은 이름(리커버),"13,500","12,150",10%,5%,670,김애란,열림원,20190627,시/에세이
179,9791188635108,S000001916981,세계사를 바꾼 10가지 약,"16,000","14,400",10%,5%,800,사토 겐타로,사람과나무사이,20180510,역사/문화
180,9791196025892,S000001970804,설민석의 무도 한국사 특강,"22,000","19,800",10%,1%,220,설민석,휴먼큐브,20190129,역사/문화
181,9788950978976,S000000710508,너는 기억 못하겠지만,"18,000","16,200",10%,5%,900,후지마루,아르테(arte),20190116,소설
182,9791190078009,S000001935062,글의 품격,"14,500","13,050",10%,5%,720,이기주,황소북스,20190529,인문
183,9788965746898,S000001026069,사일런트 페이션트,"15,800","14,220",10%,5%,790,알렉스 마이클리디스,해냄출판사,20190522,소설
184,9788957369937,S000000849191,하버드 행동력 수업,"15,000","13,500",10%,5%,750,가오위안,가나출판사,20181220,자기계발
185,9791162540985,S000001813668,돈의 감각,"16,800","15,120",10%,5%,840,이명로(상승미소),비즈니스북스,20190826,경제/경영
186,9788925565736,S000000478957,마음이 살짝 기운다,"14,000","12,600",10%,5%,700,나태주,알에이치코리아,20190218,시/에세이
187,9791196155711,S000001972602,연의 편지,"16,500","14,850",10%,5%,820,조현아,손봄북스,20190603,만화
189,9791186494479,S000001886113,네모아저씨의 페이퍼 블레이드,"11,500","10,350",10%,5%,570,네모아저씨 이원표,슬로래빗,20181214,어린이(초등)
190,9791187481607,S000001902232,앞으로 3년 경제전쟁의 미래,"18,000","16,200",10%,5%,900,오건영,지식노마드,20190802,경제/경영
191,9791160500844,S000001792445,주식투자 무작정 따라하기,"16,500","14,850",10%,5%,820,윤재수,길벗,20170102,경제/경영
192,9791161501857,S000001802063,나의 영어 사춘기 100시간,"13,500","12,150",10%,5%,670,이시원,시원스쿨닷컴,20181226,외국어
193,9788960975835,S000000940680,하나님의 때,"15,000","13,500",10%,5%,750,"햇살콩(김나단, 김연선)",규장,20190429,종교
194,9791158160869,S000001764083,우리가 보낸 가장 긴 밤,"13,800","12,420",10%,5%,690,이석원,달,20181112,시/에세이
195,9791196464110,S000001976790,마음의 결,"13,800","12,420",10%,5%,690,태희,피어오름,20190508,시/에세이
196,9788990982780,S000001461140,기도의 막이 내릴 때(저자 사인 인쇄본),"16,800","15,120",10%,5%,840,히가시노 게이고,재인,20190806,소설
197,9788936433598,S000000610567,채식주의자,"12,000","10,800",10%,5%,600,한강,창비,20071030,소설
198,9791157061402,S000001749962,수축사회,"18,000","16,200",10%,5%,900,홍성국,메디치미디어,20181210,경제/경영
199,9791162141885,S000001807536,참 애썼다 그것으로 되었다(10만부 판매 기념 한정판),"14,000","12,600",10%,5%,700,정영욱,부크럼,20191115,시/에세이
200,9791157842636,S000001760938,원칙,"35,000","31,500",10%,5%,"1,750",레이 달리오,한빛비즈,20180618,경제/경영
