순위,상품코드,판매상품ID,상품명,정가,판매가,할인율,적립율,적립예정포인트,인물,출판사,발행(출시)일자,분야
122,9791189995898,S000001934102,코로나 사피엔스,"15,000","13,500",10%,5%,750,최재천 외,인플루엔셜,20200610,인문
123,9791159099878,S000001775803,세계미래보고서 2035-2055,"22,000","19,800",10%,5%,"1,100",박영숙 외,교보문고,20200605,경제/경영
124,9791196764616,S000001980308,모든 사람에게 좋은 사람일 필요는 없어,"13,800","12,420",10%,5%,690,김유은,좋은북스,20190927,시/에세이
125,9788960518025,S000000928964,노화의 종말,"22,000","19,800",10%,5%,"1,100",데이비드 A. 싱클레어 외,부키,20200730,인문
127,9791165340957,S000001835592,사랑한다고 상처를 허락하지 말 것,"14,500","13,050",10%,5%,720,김달,비에이블,20200417,시/에세이
128,9791165211653,S000001834413,인생의 태도,"16,000","14,400",10%,1%,160,웨인 다이어,더퀘스트,20200619,인문
129,9788925599632,S000000479470,규칙 없음,"25,000","22,500",10%,5%,"1,250",리드 헤이스팅스 외,알에이치코리아,20200908,경제/경영
130,9788950986919,S000000710926,이 한마디가 나를 살렸다,"16,000","14,400",10%,5%,800,김미경,21세기북스,20200325,자기계발
131,9791130628639,S000001686884,명리심리학,"16,000","14,400",10%,5%,800,양창순,다산북스,20200225,인문
132,9788947545211,S000000695932,아홉 명의 완벽한 타인들,"15,800","14,220",10%,5%,790,리안 모리아티,마시멜로,20191025,소설
133,9791196831059,S000001981132,코로나 투자 전쟁,"16,800","15,120",10%,5%,840,정채진 외,페이지2북스,20200525,경제/경영
134,9791189995539,S000001934096,우리가 인생이라 부르는 것들,"16,000","14,400",10%,5%,800,정재찬,인플루엔셜,20200225,인문
135,9788936447014,S000000611343,아홉 살 마음 사전,"11,000","9,900",10%,5%,550,박성우,창비,20170310,어린이(초등)
136,9791190078085,S000001935066,사랑은 내 시간을 기꺼이 건네주는 것이다,"14,500","13,050",10%,5%,720,이기주,황소북스,20200318,시/에세이
137,9788984373853,S000001310188,작가들의 비밀스러운 삶,"14,800","13,320",10%,5%,740,기욤 뮈소,밝은세상,20191121,소설
138,9788901227542,S000000407603,넛지,"18,000","16,200",10%,5%,900,안진환,리더스북,20181123,경제/경영
139,9791162143056,S000001807580,나를 사랑하는 연습(10만 부 판매 기념 리커버 에디션),"14,000","12,600",10%,5%,700,정영욱,부크럼,20200102,자기계발
140,9791158551957,S000001768412,해커스 OPIc 오픽 Advanced 공략,"15,900","14,310",10%,5%,790,해커스 오픽연구소,해커스,20210813,외국어
141,9791190242516,S000001937740,존리의 금융문맹 탈출,"16,000","14,400",10%,5%,800,존 리,베가북스,20201012,경제/경영
142,9791135459757,S000001708042,혼돈의 시대 리더의 탄생,"26,800","24,120",10%,5%,"1,340",도리스 컨스 굿윈,커넥팅,20200226,정치/사회
