순위,상품코드,판매상품ID,상품명,정가,판매가,할인율,적립율,적립예정포인트,인물,출판사,발행(출시)일자,분야
54,9791164136452,S000001826105,공정하다는 착각,"18,000","16,200",10%,5%,900,마이클 샌델,와이즈베리,20201201,인문
55,9791191043723,S000061353832,"어느 날, 내 죽음에 네가 들어왔다","15,000","13,500",10%,5%,750,세이카 료겐,모모,20220509,소설
56,9791191891072,S000001953725,나에게 고맙다(30만 부 기념 전면 개정판),"16,000","14,400",10%,5%,800,전승환,북로망스,20220218,시/에세이
57,9791191438406,S000001951342,거꾸로 읽는 세계사,"17,500","15,750",10%,5%,870,유시민,돌베개,20211029,역사/문화
58,9791191043631,S000001947500,잘 살아라 그게 최고의 복수다,"15,000","13,500",10%,5%,750,권민창,마인드셋(Mindset),20220121,자기계발
59,9791158510619,S000001767887,타이탄의 도구들(블랙 에디션),"18,000","16,200",10%,5%,900,팀 페리스,토네이도,20220620,자기계발
60,9788925578156,S000061350467,월급쟁이 부자로 은퇴하라(10만 부 돌파 기념 증보판),"19,800","17,820",10%,5%,990,너나위,알에이치코리아,20220620,경제/경영
61,9788934972464,S000000597165,사피엔스,"22,000","19,800",10%,5%,"1,100",유발 하라리,김영사,20151124,인문
62,9791157280292,S000001752581,꽃을 보듯 너를 본다,"11,000","9,900",10%,5%,550,나태주,지혜,20201130,시/에세이
63,9788954685887,S000000781307,2022 제13회 젊은작가상 수상작품집,"7,700","6,930",10%,5%,380,임솔아 외,문학동네,20220408,소설
64,9788983711892,S000001290624,코스모스,"19,900","17,910",10%,5%,990,칼 세이건,사이언스북스,20100120,과학
65,9791191891201,S000061585932,잘될 수밖에 없는 너에게(10만부 기념 응원 에디션),"16,000","14,400",10%,5%,800,최서영,북로망스,20220818,시/에세이
66,9791130689890,S000001687471,내가 틀릴 수도 있습니다(화이트 에디션),"16,000","14,400",10%,5%,800,비욘 나티코 린데블라드,다산초당,20220418,인문
67,9788934986652,S000000597842,어떻게 말해줘야 할까,"17,500","15,750",10%,5%,870,오은영,김영사,20201025,가정/육아
68,9788956608556,S000000828407,구의 증명,"8,000","7,200",10%,5%,400,최진영,은행나무,20150330,소설
69,9788932473901,S000000576524,이기적 유전자(40주년 기념판),"20,000","18,000",10%,5%,"1,000",리처드 도킨스,을유문화사,20181020,과학
70,9791157062645,S000061450206,계속 가보겠습니다,"18,000","16,200",10%,5%,900,임은정,메디치미디어,20220722,정치/사회
71,9788984374386,S000001310213,센 강의 이름 모를 여인,"16,000","14,400",10%,5%,800,기욤 뮈소,밝은세상,20220119,소설
72,9788934943457,S000061350650,최재천의 공부,"16,500","14,850",10%,5%,820,최재천 외,김영사,20220518,인문
74,9791168410930,S000001852721,흔한남매 오해요,"13,500","12,150",10%,5%,670,흔한남매 ,미래엔아이세움,20220303,어린이(초등)
75,9788970127248,S000001068676,총 균 쇠,"28,000","25,200",10%,5%,"1,400",재레드 다이아몬드,문학사상,20051219,역사/문화
76,9788901255712,S000000408189,세븐 테크,"18,000","16,200",10%,5%,900,김미경 외,웅진지식하우스,20220210,경제/경영
77,9791191600704,S000001952241,진짜 쓰는 실무 엑셀,"21,000","18,900",10%,5%,"1,050",오빠두(전진권),제이펍,20220215,컴퓨터/IT
78,9791197747618,S000001988110,윤석열 X파일,"16,000","14,400",10%,5%,800,열린공감TV,열린공감TV,20220204,정치/사회
79,9791191043617,S000001947498,백광,"14,500","13,050",10%,5%,720,렌조 미키히코,모모,20220214,소설
80,9791136272690,S000001712459,포켓몬스터 가라르 도감,"12,000","10,800",10%,5%,600,대원키즈 편집부,대원키즈,20210520,어린이(초등)
81,9788998441012,S000001632467,모순,"13,000","11,700",10%,5%,650,양귀자,쓰다,20130401,소설
82,9791166686665,S000001846664,저주토끼,"14,800","13,320",10%,5%,740,정보라,아작,20220401,소설
83,9788960499379,S000000928134,거의 모든 행동 표현의 영어,"16,000","14,400",10%,5%,800,서영조,사람in,20220310,외국어
84,9788933871805,S000000588854,무엇이 옳은가,"17,800","16,020",10%,5%,890,후안 엔리케스,세계사,20220419,인문
85,9788937460449,S000000620181,데미안,"8,000","7,200",10%,5%,400,헤르만 헤세,민음사,20090120,소설
86,9788965137702,S000061351196,유럽 도시 기행 2,"17,500","15,750",10%,5%,870,유시민,생각의길,20220709,인문
87,9791188469994,S000001914848,당신은 결국 무엇이든 해내는 사람,"15,000","13,500",10%,5%,750,김상현,필름(Feelm),20220420,시/에세이
88,9791164064281,S000001825125,이상한 과자 가게 전천당 13,"12,000","10,800",10%,5%,600,히로시마 레이코,길벗스쿨,20220124,어린이(초등)
89,9791130679822,S000001687400,럭키 드로우,"16,000","14,400",10%,5%,800,드로우앤드류,다산북스,20220125,자기계발
90,9791192300245,S000061671940,마흔에 읽는 니체,"16,000","14,400",10%,5%,800,장재형,유노북스,20220901,인문
91,9791158512378,S000001767980,보도 섀퍼의 이기는 습관,"17,000","15,300",10%,5%,850,보도 섀퍼,토네이도,20220318,자기계발
92,9788934985051,S000000597790,햇빛은 찬란하고 인생은 귀하니까요: 밀라논나 이야기,"14,800","13,320",10%,5%,740,장명숙,김영사,20210818,시/에세이
93,9788917229813,S000000450340,ETS 토익 기출 VOCA 출제기관 공식수험서,"12,900","11,610",10%,5%,640,ETS,YBM,20180605,외국어
94,9791197437311,S000001986541,백년허리 2: 치료편,"18,500","16,650",10%,5%,920,정선근,언탱글링,20210513,건강
95,9791197646751,S000001987742,나는 장사의 신이다,"16,800","15,120",10%,5%,840,은현장,떠오름(RISE),20211220,경제/경영
96,9788934961574,S000061350657,눈물 한 방울,"15,800","14,220",10%,5%,790,이어령,김영사,20220630,인문
97,9791164455355,S000001830106,나의 MBTI가 궁금하단 마리몽,"15,800","14,220",10%,5%,790,김소나,더모던,20211130,시/에세이
98,9791165383053,S000001836289,설민석의 한국사 대모험 19,"12,000","10,800",10%,5%,600,설민석 외,아이휴먼,20211228,어린이(초등)
99,9788901259703,S000000408219,나의 투자는 새벽 4시에 시작된다,"19,800","17,820",10%,5%,990,유목민,리더스북,20220415,경제/경영
100,9788934930549,S000000594919,흔한남매 과학 탐험대 4: 물질,"14,000","12,600",10%,5%,700,흔한남매 ,주니어김영사,20220228,어린이(초등)
101,9788949114118,S000000699229,여름이 온다,"27,000","24,300",10%,5%,"1,350",이수지,비룡소,20210727,유아(0~7세)
102,9791162542521,S000001813742,딱 2년 안에 무조건 돈 버는 부동산 투자 시크릿,"17,500","15,750",10%,5%,870,김세희(세빛희),비즈니스북스,20211210,경제/경영
103,9791162143605,S000001807614,잘했고 잘하고 있고 잘 될 것이다(스페셜 리미티드 에디션),"15,000","13,500",10%,5%,750,정영욱,부크럼,20210514,시/에세이
104,9788956608075,S000000828383,삶의 격,"16,000","14,400",10%,5%,800,페터 비에리,은행나무,20141029,인문
105,9791134870508,S000001703358,포켓몬 전국 캐릭터 대도감: 다이아몬드 펄,"14,000","12,600",10%,5%,700,학산문화사 편집부,학산문화사,20200825,어린이(초등)
106,9791196851200,S000001981341,부의 인문학(20만부 기념 개정증보판),"17,000","15,300",10%,5%,850,우석,오픈마인드,20220321,경제/경영
107,9791168340039,S000001852525,아직 오지 않은 날들을 위하여,"16,000","14,400",10%,5%,800,파스칼 브뤼크네르,인플루엔셜,20211112,인문
108,9788917235944,S000000450452,토익 단기공략 750+(LC+RC),"18,000","16,200",10%,5%,900,ETS,YBM,20200820,외국어
109,9791191904062,S000001953755,NFT 사용설명서,"18,000","16,200",10%,5%,900,맷 포트나우 외,여의도책방,20211129,경제/경영
110,9788932474427,S000000576571,공간의 미래,"16,000","14,400",10%,5%,800,유현준,을유문화사,20210425,인문
111,9788954650212,S000000780033,세계를 건너 너에게 갈게,"12,500","11,250",10%,5%,620,이꽃님,문학동네,20210924,청소년
113,9788965423379,S000001020255,해커스 토익 스타트 리딩(Reading) RC,"14,900","13,410",10%,5%,740,David Cho,해커스어학연구소,20220221,외국어
114,9788952206503,S000000720568,시크릿,"13,800","12,420",10%,5%,690,론다 번,살림Biz,20070618,자기계발
115,9791197413025,S000001986381,다정한 것이 살아남는다,"22,000","19,800",10%,5%,"1,100",브라이언 헤어 외,디플롯,20210726,과학
116,9788968331862,S000001056702,방구석 미술관,"16,800","15,120",10%,5%,840,조원재,블랙피쉬,20211221,예술/대중문화
117,9791159095887,S000001775724,벌거벗은 세계사: 사건편,"23,000","20,700",10%,5%,"1,150",tvn<벌거벗은세계사>제작팀,교보문고,20220125,역사/문화
118,9791197549335,S000001987188,전념,"17,800","16,020",10%,5%,890,피트 데이비스,상상스퀘어,20220105,인문
119,9791135472176,S000001708246,우리는 지금 문학이 필요하다,"26,800","24,120",10%,5%,"1,340",앵거스 플레처,비잉(Being),20211222,인문
120,9788965421030,S000001020123,해커스 보카(Hackers Vocabulary),"16,900","15,210",10%,5%,840,David Cho,해커스어학연구소,20211213,외국어
121,9788936448134,S000000611446,고양이 해결사 깜냥 4: 눈썰매장을 씽씽 달려라!,"11,000","9,900",10%,5%,550,홍민정,창비,20220121,어린이(초등)
122,9788978496629,S000061584236,초역 니체의 말,"15,800","14,220",10%,5%,790,프리드리히 니체,삼호미디어,20220829,인문
123,9791190337755,S000001939001,죽이고 싶은 아이,"12,500","11,250",10%,5%,620,이꽃님,우리학교,20210607,청소년
124,9791130633619,S000001687079,부자의 그릇,"15,000","13,500",10%,5%,750,이즈미 마사토,다산북스,20201214,경제/경영
125,9788949162188,S000000700450,둥실이네 떡집,"11,000","9,900",10%,5%,550,김리리,비룡소,20220422,어린이(초등)
126,9791190090018,S000001935245,우리가 빛의 속도로 갈 수 없다면,"14,000","12,600",10%,5%,700,김초엽,허블,20190624,소설
127,9788993178692,S000001519705,지리의 힘,"20,000","18,000",10%,5%,"1,000",팀 마샬,사이,20160810,정치/사회
128,9788937834790,S000000625441,정의란 무엇인가,"15,000","13,500",10%,5%,750,마이클 샌델,와이즈베리,20141120,인문
129,9788901090184,S000000403626,클루지,"13,800","12,420",10%,5%,690,개리 마커스,갤리온,20081124,인문
130,9791167370280,S000001849737,완전한 행복,"15,800","14,220",10%,5%,790,정유정,은행나무,20210608,소설
131,9791168411029,S000001852724,에그박사 6,"13,500","12,150",10%,5%,670,에그박사 ,미래엔아이세움,20220310,어린이(초등)
132,9788915108165,S000061549747,임신 출산 육아 대백과(2022~2023),"19,500","17,550",10%,5%,970,삼성출판사 편집부,삼성출판사,20220731,가정/육아
133,9788934949671,S000000596005,우리는 여전히 삶을 사랑하는가,"15,800","14,220",10%,5%,790,라이너 풍크,김영사,20220211,인문
134,9791190382502,S000001939534,모든 것은 기본에서 시작한다,"16,000","14,400",10%,5%,800,손웅정,수오서재,20211015,시/에세이
135,9791168121065,S000001852269,오백 년째 열다섯,"12,500","11,250",10%,5%,620,김혜정,위즈덤하우스,20220128,청소년
136,9788972756194,S000001123530,나미야 잡화점의 기적,"14,800","13,320",10%,5%,740,히가시노 게이고,현대문학,20121219,소설
137,9788990982940,S000001461152,허상의 어릿광대,"18,800","16,920",10%,5%,940,히가시노 게이고,재인,20211216,소설
138,9788960519145,S000000929011,10배의 법칙,"16,800","15,120",10%,5%,840,그랜트 카돈,부키,20220330,자기계발
139,9791168940420,S000001854536,원피스 101: 주연 등장,"5,500","4,950",10%,5%,270,Eiichiro Oda,대원씨아이,20220324,만화
140,9791197693007,S000001987936,이순신의 바다,"22,000","19,800",10%,5%,"1,100",황현필,역바연,20211216,역사/문화
141,9788973814725,S000001144035,멋진 신세계,"13,800","12,420",10%,5%,690,올더스 헉슬리,소담출판사,20150612,소설
142,9791168410848,S000001852716,흔한남매의 흔한 호기심 5,"13,000","11,700",10%,5%,650,흔한남매 ,미래엔아이세움,20220127,어린이(초등)
143,9791130679006,S000001687376,강성태 66일 영어회화,"17,000","15,300",10%,5%,850,강성태,다산북스,20211224,외국어
144,9791190313186,S000001938774,지적 대화를 위한 넓고 얕은 지식 1,"16,000","14,400",10%,5%,800,채사장,웨일북(whalebooks),20200205,인문
145,9788901260679,S000061350430,넛지(파이널 에디션),"22,000","19,800",10%,5%,"1,100",리처드 탈러 외,리더스북,20220620,경제/경영
146,9791197437304,S000001986540,백년허리 1: 진단편,"18,500","16,650",10%,5%,920,정선근,언탱글링,20210415,건강
147,9791165799052,S000001840757,143층 나무 집,"12,000","10,800",10%,5%,600,앤디 그리피스,시공주니어,20220330,어린이(초등)
148,9791158362836,S000001766214,연이와 버들 도령,"18,000","16,200",10%,5%,900,백희나,책읽는곰,20211230,유아(0~7세)
149,9791191401448,S000001950993,이것은 작은 브랜드를 위한 책,"15,800","14,220",10%,5%,790,이근상,몽스북,20211224,경제/경영
150,9788954648523,S000000779944,친밀한 이방인,"13,000","11,700",10%,5%,650,정한아,문학동네,20171013,소설
151,9791162540640,S000001813652,아주 작은 습관의 힘,"16,000","14,400",10%,5%,800,제임스 클리어,비즈니스북스,20190226,자기계발
152,9791134838560,S000001702204,스파이 패밀리 1,"6,000","5,400",10%,5%,300,Tatsuya Endo,학산문화사,20191128,만화
153,9791158360375,S000001766001,알사탕,"12,000","10,800",10%,5%,600,백희나,책읽는곰,20170325,유아(0~7세)
154,9791158551957,S000001768412,해커스 OPIc 오픽 Advanced 공략,"15,900","14,310",10%,5%,790,해커스 오픽연구소,해커스,20210813,외국어
155,9791158741426,S000001771410,나는 불안할 때 논어를 읽는다,"17,800","16,020",10%,5%,890,판덩,미디어숲,20220330,자기계발
156,9788954654753,S000000780281,체리새우: 비밀글입니다(30만 부 리커버 특별판),"11,500","10,350",10%,5%,570,황영미,문학동네,20190128,청소년
157,9788954683371,S000000781176,H마트에서 울다,"16,000","14,400",10%,5%,800,미셸 자우너,문학동네,20220228,시/에세이
158,9788954686921,S000061350866,저만치 혼자서,"15,000","13,500",10%,5%,750,김훈,문학동네,20220601,소설
159,9788957825945,S000000858148,월가의 영웅,"26,000","23,400",10%,5%,"1,300",피터 린치 외,국일증권경제연구소,20210730,경제/경영
160,9791196918033,S000001981866,비전공자를 위한 이해할 수 있는 IT 지식,"16,800","15,120",10%,5%,840,최원영,티더블유아이지,20200714,컴퓨터/IT
161,9791166831515,S000001848009,영어 필사 100일의 기적,"15,000","13,500",10%,5%,750,퍼포먼스 코치 리아,넥서스,20211110,외국어
162,9791196834005,S000001981146,백년운동,"19,500","17,550",10%,5%,970,정선근,아티잔,20191031,건강
163,9788996991342,S000001606967,미움받을 용기,"14,900","13,410",10%,5%,740,기시미 이치로 외,인플루엔셜,20141117,인문
164,9791191891096,S000061354078,나로서 충분히 괜찮은 사람,"16,000","14,400",10%,5%,800,김재식,북로망스,20220510,시/에세이
165,9788965965046,S000001029426,도파민네이션,"18,000","16,200",10%,5%,900,애나 렘키,흐름출판,20220321,인문
166,9791164408580,S000001828653,종목 선정 나에게 물어봐,"26,000","23,400",10%,5%,"1,300",김정수,하움출판사,20211111,경제/경영
167,9788965424628,S000001020313,한 권으로 끝내는 해커스 토익 700+ (LC+RC+VOCA),"19,800","17,820",10%,5%,990,해커스 어학연구소,해커스어학연구소,20220103,외국어
168,9788957070703,S000000841300,시간 고양이,"13,000","11,700",10%,5%,650,박미연,이지북,20211020,어린이(초등)
169,9791160272680,S000001789612,1984,"14,800","13,320",10%,5%,740,조지 오웰,소담출판사,20211208,소설
170,9791162542606,S000001813746,뉴욕주민의 진짜 미국식 주식투자,"24,000","21,600",10%,5%,"1,200",뉴욕주민,비즈니스북스,20220111,경제/경영
171,9788950941819,S000061863194,세상에서 가장 쉬운 본질육아(러브드 에디션),"18,800","16,920",10%,5%,940,지나영,21세기북스,20220928,가정/육아
172,9791170400608,S000061353411,너무 잘하려고 애쓰지 마라,"14,000","12,600",10%,5%,700,나태주,열림원,20220531,시/에세이
173,9788950903138,S000061449289,마법천자문 53: 결정을 내리다! 결단할 결,"14,000","12,600",10%,5%,700,유대영,아울북,20220712,어린이(초등)
174,9791197037153,S000001983086,작은 별이지만 빛나고 있어(20만 부 기념 한정판 에디션),"15,000","13,500",10%,5%,750,소윤,북로망스,20210929,시/에세이
175,9788972773610,S000001124145,컬러애 물들다,"16,800","15,120",10%,5%,840,밥 햄블리,리드리드출판,20220511,자기계발
176,9791158682446,S000061450245,읽으면서 바로 써먹는 어린이 수수께끼: 공포 특급,"13,000","11,700",10%,5%,650,한날,파란정원,20220725,어린이(초등)
177,9791140700998,S000061584676,믹스(Mix),"18,800","16,920",10%,5%,940,안성은(Brand Boy),더퀘스트,20220816,경제/경영
178,9791192227481,S000001954751,12 1/2 부와 성공을 부르는 12가지 원칙,"15,000","13,500",10%,5%,750,게리 바이너척,천그루숲,20220220,자기계발
179,9791130621678,S000001686672,레버리지,"16,000","14,400",10%,5%,800,롭 무어,다산북스,20190603,경제/경영
180,9791190977432,S000001946743,거인의 포트폴리오,"18,000","16,200",10%,5%,900,강환국,페이지2북스,20211108,경제/경영
181,9791158682248,S000001771000,어린이 한국사 퀴즈 1,"12,000","10,800",10%,5%,600,한날,파란정원,20211224,어린이(초등)
182,9791168410541,S000001852695,흔한남매 별난 방탈출 4,"12,800","11,520",10%,5%,640,흔한남매 ,미래엔아이세움,20211220,어린이(초등)
183,9791197377150,S000001986137,나는 나로 살기로 했다(골드 에디션),"16,000","14,400",10%,5%,800,김수현,클레이하우스,20220204,시/에세이
184,9788965423386,S000001020256,해커스 토익 스타트 리스닝(Listening) LC,"14,900","13,410",10%,5%,740,David Cho,해커스어학연구소,20220221,외국어
185,9791192372037,S000001955017,저 별은 모두 당신을 위해 빛나고 있다,"15,200","13,680",10%,5%,760,손힘찬(오가타 마리토),떠오름(RISE),20220422,시/에세이
186,9788960498310,S000000928070,영어 회화의 결정적 단어들,"15,000","13,500",10%,5%,750,서영조,사람in,20200306,외국어
187,9788993178982,S000001519722,지리의 힘 2,"23,000","20,700",10%,5%,"1,150",팀 마샬,사이,20220410,정치/사회
188,9791162542569,S000001813744,하루를 48시간으로 사는 마법,"15,000","13,500",10%,5%,750,이재은,비즈니스북스,20211217,자기계발
189,9791130689876,S000001687470,나는 대출 없이 0원으로 소형 아파트를 산다,"20,000","18,000",10%,5%,"1,000",잭파시(최경천),다산북스,20220419,경제/경영
190,9788956609959,S000000828491,종의 기원,"13,000","11,700",10%,5%,650,정유정,은행나무,20160516,소설
191,9791165383046,S000001836288,반짝반짝 캐치! 티니핑 마음 성장 동화 1: 로미의 새로운 도전,"12,000","10,800",10%,5%,600,아이휴먼 편집부,아이휴먼,20220225,유아(0~7세)
192,9791160946918,S000001797038,어린이라는 세계,"15,000","13,500",10%,5%,750,김소영,사계절,20201116,시/에세이
193,9788972773641,S000061403875,호감 가는 말투에는 비밀이 있다,"16,800","15,120",10%,5%,840,장신웨,리드리드출판,20220811,자기계발
194,9791165345204,S000061352596,책들의 부엌 (인사이드 에디션),"14,500","13,050",10%,5%,720,김지혜,팩토리나인,20220512,소설
195,9788931011623,S000000549237,사랑의 기술,"12,000","10,800",10%,5%,600,에리히 프롬,문예출판사,20190901,인문
196,9791167030313,S000001848643,가짜 모범생,"12,000","10,800",10%,5%,600,손현주,특별한서재,20211015,청소년
197,9791164455676,S000061352475,문재인의 위로,"15,800","14,220",10%,5%,790,더휴먼 편집부,더휴먼,20220510,시/에세이
198,9791192237022,S000001954786,고민의 답,"15,800","14,220",10%,5%,790,글배우,강한별,20220325,자기계발
199,9791162541968,S000001813715,마지막 몰입: 나를 넘어서는 힘,"16,800","15,120",10%,5%,840,짐 퀵,비즈니스북스,20210223,자기계발
200,9791191347975,S000061451366,우리는 어디서 살아야 하는가,"18,000","16,200",10%,5%,900,김시덕,포레스트북스,20220720,경제/경영
