순위,상품코드,판매상품ID,상품명,정가,판매가,할인율,적립율,적립예정포인트,인물,출판사,발행(출시)일자,분야
1,9791161571188,S000001803157,불편한 편의점(40만부 기념 벚꽃 에디션),"14,000","12,600",10%,5%,700,김호연,나무옆의자,20210420,소설
2,9788901260716,S000061350431,역행자,"17,500","15,750",10%,5%,870,자청,웅진지식하우스,20220603,자기계발
3,9788954699914,S000061532442,하얼빈,"16,000","14,400",10%,5%,800,김훈,문학동네,20220803,소설
4,9791196661984,S000001979092,그리움은 아무에게나 생기지 않습니다,"15,000","13,500",10%,5%,750,박근혜,가로세로연구소,20211230,정치/사회
5,9791191114225,S000001947900,작별인사,"14,000","12,600",10%,5%,700,김영하,복복서가,20220502,소설
6,9791158883591,S000001772245,부자 아빠 가난한 아빠 1(20주년 특별 기념판),"17,000","15,300",10%,5%,850,로버트 기요사키,민음인,20221028,경제/경영
7,9791165341909,S000001835614,달러구트 꿈 백화점(레인보우 에디션),"13,800","12,420",10%,5%,690,이미예,팩토리나인,20200708,소설
8,9791170400523,S000001860182,이어령의 마지막 수업,"16,500","14,850",10%,5%,820,김지수 외,열림원,20211028,인문
9,9791189327156,S000001925800,물고기는 존재하지 않는다,"17,000","15,300",10%,5%,850,룰루 밀러,곰출판,20211217,과학
10,9791197377143,S000001986136,"어서 오세요, 휴남동 서점입니다","15,000","13,500",10%,5%,750,황보름,클레이하우스,20220117,소설
11,9791191043754,S000061353833,세상의 마지막 기차역,"14,000","12,600",10%,5%,700,무라세 다케시,모모,20220509,소설
12,9791165343729,S000001835707,달러구트 꿈 백화점 2(레인보우 에디션),"13,800","12,420",10%,5%,690,이미예,팩토리나인,20210727,소설
13,9791130677774,S000001687355,웰씽킹(WEALTHINKING),"16,000","14,400",10%,5%,800,켈리 최,다산북스,20211110,자기계발
14,9791196617127,S000001978651,기분을 관리하면 인생이 관리된다,"17,600","15,840",10%,5%,880,김다슬,클라우디아,20220412,시/에세이
15,9791161571379,S000061532631,불편한 편의점 2(단풍 에디션),"14,000","12,600",10%,5%,700,김호연,나무옆의자,20220810,소설
16,9788959897094,S000061863239,트렌드 코리아 2023,"19,000","17,100",10%,5%,950,김난도 외,미래의창,20221005,경제/경영
17,9791191347685,S000001950616,마음의 법칙,"16,000","14,400",10%,5%,800,폴커 키츠 외,포레스트북스,20220210,인문
18,9788965422785,S000001020219,해커스 토익 기출보카 TOEIC VOCA(토익보카) 단어장,"12,900","11,610",10%,5%,640,David Cho,해커스어학연구소,20220314,외국어
19,9788997396870,S000001615678,오은영의 화해,"16,000","14,400",10%,5%,800,오은영,코리아닷컴,20190110,자기계발
20,9791187142560,S000001897788,데일 카네기 인간관계론,"11,500","10,350",10%,5%,570,데일 카네기,현대지성,20191007,자기계발
21,9791168340510,S000061450857,파친코 1,"15,800","14,220",10%,5%,790,이민진,인플루엔셜,20220805,소설
22,9791191056556,S000001947560,미드나잇 라이브러리(평행우주 에디션),"15,800","14,220",10%,5%,790,매트 헤이그,인플루엔셜,20210428,소설
23,9791188331796,S000001913217,돈의 속성(200쇄 리커버에디션),"17,800","16,020",10%,5%,890,김승호,스노우폭스북스,20200615,경제/경영
24,9791168411685,S000001852744,흔한남매 10,"13,500","12,150",10%,5%,670,흔한남매 ,미래엔아이세움,20220428,어린이(초등)
25,9791190826839,S000001944385,오십에 읽는 논어 (15만 부 기념 리커버 에디션),"16,000","14,400",10%,5%,800,최종엽,유노북스,20211103,인문
26,9791187444725,S000001901955,부의 추월차선(10주년 스페셜 에디션),"17,500","15,750",10%,5%,870,엠제이 드마코,토트,20220204,경제/경영
27,9791197647604,S000001987750,나는 당신이 행복했으면 좋겠습니다,"13,800","12,420",10%,5%,690,박찬위,하이스트,20211125,시/에세이
28,9791191280333,S000001949990,데일 카네기 자기관리론(1948년 초판 완역본),"11,500","10,350",10%,5%,570,데일 카네기,현대지성,20210113,자기계발
29,9788997575169,S000001619177,원씽(The One Thing)(리커버 특별판),"14,000","12,600",10%,5%,700,게리 켈러 외,비즈니스북스,20130830,자기계발
30,9788901259307,S000000408211,운명을 바꾸는 부동산 투자 수업: 기초편,"16,800","15,120",10%,5%,840,정태익,리더스북,20220322,경제/경영
31,9788937461033,S000000620240,인간 실격,"9,000","8,100",10%,5%,450,다자이 오사무,민음사,20120410,소설
32,9791190977661,S000061353823,인플레이션에서 살아남기,"18,800","16,920",10%,5%,940,오건영,페이지2북스,20220523,경제/경영
33,9791190030922,S000001934510,소크라테스 익스프레스,"18,000","16,200",10%,5%,900,에릭 와이너,어크로스,20210428,인문
34,9788959893546,S000000912431,"돈, 뜨겁게 사랑하고 차갑게 다루어라","12,000","10,800",10%,5%,600,앙드레 코스톨라니,미래의창,20150930,경제/경영
35,9791191043297,S000001947482,"오늘 밤, 세계에서 이 사랑이 사라진다 해도","14,000","12,600",10%,5%,700,이치조 미사키,모모,20210628,소설
36,9791191056372,S000001947552,돈의 심리학,"19,800","17,820",10%,5%,990,모건 하우절,인플루엔셜,20210113,경제/경영
37,9788970129815,S000001068911,파친코 1,"14,500","13,050",10%,5%,720,이민진,문학사상,20180309,소설
38,9788959897001,S000000912606,트렌드 코리아 2022,"18,000","16,200",10%,5%,900,김난도 외,미래의창,20211006,경제/경영
39,9788936438753,S000061350685,아몬드(100만 부 기념 특별판),"12,000","10,800",10%,5%,600,손원평,창비,20220512,소설
40,9791191043761,S000001947506,멘탈을 바꿔야 인생이 바뀐다,"15,800","14,220",10%,5%,790,박세니,마인드셋(Mindset),20220430,자기계발
41,9788991622869,S000001480285,"굿바이, 이재명","15,000","13,500",10%,5%,750,장영하,지우출판,20211224,정치/사회
42,9791133463817,S000001697500,포켓몬스터 썬&문 포켓몬 전국대도감,"9,500","8,550",10%,5%,470,대원키즈 편집부,대원키즈,20171019,어린이(초등)
43,9788954677158,S000000780847,긴긴밤,"11,500","10,350",10%,5%,570,루리,문학동네,20210203,어린이(초등)
44,9788932474755,S000061448959,헤어질 결심 각본,"15,000","13,500",10%,5%,750,정서경 외,을유문화사,20220805,예술/대중문화
45,9791157845798,S000061352115,변화하는 세계 질서,"38,000","34,200",10%,5%,"1,900",레이 달리오,한빛비즈,20220601,경제/경영
46,9788936438838,S000061694154,아버지의 해방일지,"15,000","13,500",10%,5%,750,정지아,창비,20220902,소설
47,9791162540633,S000001813651,그릿(50만부 판매 기념 리커버 골드에디션)(양장본 Hardcover),"18,000","16,200",10%,5%,900,앤절라 더크워스,비즈니스북스,20221219,자기계발
48,9791191824001,S000001953324,지구 끝의 온실,"15,000","13,500",10%,5%,750,김초엽,자이언트북스,20210818,소설
49,9788954681179,S000000781066,밝은 밤,"14,500","13,050",10%,5%,720,최은영,문학동네,20210727,소설
50,9791165216603,S000001834672,NFT 레볼루션,"18,000","16,200",10%,1%,180,성소라 외,더퀘스트,20210901,경제/경영
51,9791157062560,S000001750069,가불 선진국,"16,000","14,400",10%,5%,800,조국,메디치미디어,20220325,정치/사회
52,9791191043518,S000001947492,테라피스트,"16,000","14,400",10%,5%,800,B. A. 패리스,모모,20211206,소설
53,9791190174756,S000001936854,"칵테일, 러브, 좀비 (리커버)","10,000","9,000",10%,5%,500,조예은,안전가옥,20200413,소설
