순위,상품코드,판매상품ID,상품명,정가,판매가,할인율,적립율,적립예정포인트,인물,출판사,발행(출시)일자,분야
1,9791165341909,S000001835614,달러구트 꿈 백화점(레인보우 에디션),"13,800","12,420",10%,5%,690,이미예,팩토리나인,20200708,소설
2,9791160023459,S000001787502,주린이가 가장 알고 싶은 최다질문 TOP 77(교보 단독 리커버),"18,000","16,200",10%,5%,900,염승환,메이트북스,20210726,경제/경영
3,9791191056556,S000001947560,미드나잇 라이브러리(평행우주 에디션),"15,800","14,220",10%,5%,790,매트 헤이그,인플루엔셜,20210428,소설
4,9788935668663,S000000603555,조국의 시간,"17,000","15,300",10%,5%,850,조국,한길사,20210531,정치/사회
5,9791190030922,S000001934510,소크라테스 익스프레스,"18,000","16,200",10%,5%,900,에릭 와이너,어크로스,20210428,인문
6,9791164136452,S000001826105,공정하다는 착각,"18,000","16,200",10%,5%,900,마이클 샌델,와이즈베리,20201201,인문
7,9788901246086,S000000407975,2030 축의 전환(30만 부 기념 리커버),"18,000","16,200",10%,5%,900,마우로 기옌,리더스북,20221118,경제/경영
8,9791165343729,S000001835707,달러구트 꿈 백화점 2(레인보우 에디션),"13,800","12,420",10%,5%,690,이미예,팩토리나인,20210727,소설
9,9791167370280,S000001849737,완전한 행복,"15,800","14,220",10%,5%,790,정유정,은행나무,20210608,소설
10,9788965422785,S000001020219,해커스 토익 기출보카 TOEIC VOCA(토익보카) 단어장,"12,900","11,610",10%,5%,640,David Cho,해커스어학연구소,20220314,외국어
11,9788936434267,S000000610625,아몬드,"14,000","12,600",10%,5%,700,손원평,창비,20170331,소설
12,9788934986652,S000000597842,어떻게 말해줘야 할까,"17,500","15,750",10%,5%,870,오은영,김영사,20201025,가정/육아
13,9791158883591,S000001772245,부자 아빠 가난한 아빠 1(20주년 특별 기념판),"17,000","15,300",10%,5%,850,로버트 기요사키,민음인,20221028,경제/경영
14,9791191043297,S000001947482,"오늘 밤, 세계에서 이 사랑이 사라진다 해도","14,000","12,600",10%,5%,700,이치조 미사키,모모,20210628,소설
15,9791188331796,S000001913217,돈의 속성(200쇄 리커버에디션),"17,800","16,020",10%,5%,890,김승호,스노우폭스북스,20200615,경제/경영
16,9788959897001,S000000912606,트렌드 코리아 2022,"18,000","16,200",10%,5%,900,김난도 외,미래의창,20211006,경제/경영
17,9788901249599,S000000408056,질서 너머,"17,800","16,020",10%,5%,890,조던 피터슨,웅진지식하우스,20210322,인문
18,9791165210144,S000001834330,주식투자 무작정 따라하기(2020),"18,000","16,200",10%,5%,900,윤재수,길벗,20200110,경제/경영
19,9791197037153,S000001983086,작은 별이지만 빛나고 있어(20만 부 기념 한정판 에디션),"15,000","13,500",10%,5%,750,소윤,북로망스,20210929,시/에세이
20,9791164137527,S000001826194,흔한남매 7,"12,000","10,800",10%,5%,600,흔한남매 ,미래엔아이세움,20210310,어린이(초등)
21,9791190977265,S000001946735,부의 시나리오,"18,000","16,200",10%,5%,900,오건영,페이지2북스,20210607,경제/경영
22,9788901243658,S000000407903,기분이 태도가 되지 않게,"14,000","12,600",10%,5%,700,레몬심리,갤리온,20200630,자기계발
23,9791191056372,S000001947552,돈의 심리학,"19,800","17,820",10%,5%,990,모건 하우절,인플루엔셜,20210113,경제/경영
24,9788937461033,S000000620240,인간 실격,"9,000","8,100",10%,5%,450,다자이 오사무,민음사,20120410,소설
25,9788932474427,S000000576571,공간의 미래,"16,000","14,400",10%,5%,800,유현준,을유문화사,20210425,인문
26,9791190908634,S000001945673,좋은 사람에게만 좋은 사람이면 돼,"14,800","13,320",10%,5%,740,김재식,위즈덤하우스,20210321,시/에세이
27,9788933871553,S000000588843,모래알만 한 진실이라도,"17,000","15,300",10%,5%,850,박완서,세계사,20220630,시/에세이
28,9788959896837,S000000912600,트렌드 코리아 2021,"18,000","16,200",10%,5%,900,김난도 외,미래의창,20201013,경제/경영
29,9791189580575,S000001928330,메타버스,"17,000","15,300",10%,5%,850,김상균,플랜비디자인,20201218,경제/경영
30,9791161571188,S000001803157,불편한 편의점(40만부 기념 벚꽃 에디션),"14,000","12,600",10%,5%,700,김호연,나무옆의자,20210420,소설
31,9788970129815,S000001068911,파친코 1,"14,500","13,050",10%,5%,720,이민진,문학사상,20180309,소설
32,9791160946918,S000001797038,어린이라는 세계,"15,000","13,500",10%,5%,750,김소영,사계절,20201116,시/에세이
33,9791162541968,S000001813715,마지막 몰입: 나를 넘어서는 힘,"16,800","15,120",10%,5%,840,짐 퀵,비즈니스북스,20210223,자기계발
34,9791134882761,S000001703865,귀멸의 칼날 23(완결),"5,000","4,500",10%,5%,250,고토게 코요하루,학산문화사,20210425,만화
35,9788954678407,S000000780919,제12회 젊은작가상 수상작품집(2021),"14,000","12,600",10%,5%,700,전하영 외,문학동네,20210407,소설
37,9791197549304,S000001987186,인생은 실전이다,"18,500","16,650",10%,5%,920,주언규 외,상상스퀘어,20210908,시/에세이
38,9788957825945,S000000858148,월가의 영웅,"26,000","23,400",10%,5%,"1,300",피터 린치 외,국일증권경제연구소,20210730,경제/경영
39,9791191347180,S000001950593,매매의 기술,"18,000","16,200",10%,5%,900,박병창,포레스트북스,20210514,경제/경영
40,9788994702346,S000001554502,부의 추월차선,"15,000","13,500",10%,5%,750,엠제이 드마코,토트,20130820,경제/경영
41,9788934984979,S000000597786,그러라 그래,"14,500","13,050",10%,5%,720,양희은,김영사,20210412,시/에세이
42,9791187142560,S000001897788,데일 카네기 인간관계론,"11,500","10,350",10%,5%,570,데일 카네기,현대지성,20191007,자기계발
43,9788934985051,S000000597790,햇빛은 찬란하고 인생은 귀하니까요: 밀라논나 이야기,"14,800","13,320",10%,5%,740,장명숙,김영사,20210818,시/에세이
44,9788983711892,S000001290624,코스모스,"19,900","17,910",10%,5%,990,칼 세이건,사이언스북스,20100120,과학
45,9791157280292,S000001752581,꽃을 보듯 너를 본다,"11,000","9,900",10%,5%,550,나태주,지혜,20201130,시/에세이
46,9791190242868,S000001937756,메타버스 새로운 기회,"18,800","16,920",10%,5%,940,김상균 외,베가북스,20210608,경제/경영
47,9788934972464,S000000597165,사피엔스,"22,000","19,800",10%,5%,"1,100",유발 하라리,김영사,20151124,인문
48,9788970127248,S000001068676,총 균 쇠,"28,000","25,200",10%,5%,"1,400",재레드 다이아몬드,문학사상,20051219,역사/문화
49,9788997396870,S000001615678,오은영의 화해,"16,000","14,400",10%,5%,800,오은영,코리아닷컴,20190110,자기계발
50,9791130604626,S000001686280,이토록 공부가 재미있어지는 순간(30만부 기념 매직 에디션),"15,000","13,500",10%,5%,750,박성혁,다산북스,20200727,청소년
51,9791190090018,S000001935245,우리가 빛의 속도로 갈 수 없다면,"14,000","12,600",10%,5%,700,김초엽,허블,20190624,소설
53,9788925588902,S000000479350,"아들아, 돈 공부해야 한다","15,800","14,220",10%,5%,790,정선용(정스토리),알에이치코리아,20210325,경제/경영
54,9788954682152,S000000781116,작별하지 않는다,"14,000","12,600",10%,5%,700,한강,문학동네,20210909,소설
55,9791130637037,S000001687227,왜 일하는가,"16,000","14,400",10%,5%,800,이나모리 가즈오,다산북스,20210412,자기계발
56,9788901250014,S000000408068,강원국의 어른답게 말합니다,"16,000","14,400",10%,5%,800,강원국,웅진지식하우스,20210526,자기계발
57,9791187993797,S000001908660,나의 첫 투자 수업 1: 마인드편,"17,000","15,300",10%,5%,850,김정환 외,트러스트북스,20210325,경제/경영
58,9788954672214,S000000780616,"시선으로부터,","14,000","12,600",10%,5%,700,정세랑,문학동네,20200605,소설
59,9788965423379,S000001020255,해커스 토익 스타트 리딩(Reading) RC,"14,900","13,410",10%,5%,740,David Cho,해커스어학연구소,20220221,외국어
60,9791157841110,S000001760863,미라클모닝,"14,800","13,320",10%,5%,740,할 엘로드,한빛비즈,20220805,자기계발
61,9791190538206,S000001941412,홀로서기 심리학(7만 부 기념 스페셜 에디션),"15,000","13,500",10%,5%,750,라라 E. 필딩,메이븐,20201109,인문
62,9788972756194,S000001123530,나미야 잡화점의 기적,"14,800","13,320",10%,5%,740,히가시노 게이고,현대문학,20121219,소설
63,9791190885928,S000001945353,백조와 박쥐,"18,000","16,200",10%,5%,900,히가시노 게이고,현대문학,20210816,소설
64,9791196814342,S000001980907,요리코를 위해,"15,000","13,500",10%,5%,750,노리즈키 린타로,모모,20200304,소설
