순위,상품코드,판매상품ID,상품명,정가,판매가,할인율,적립율,적립예정포인트,인물,출판사,발행(출시)일자,분야
65,9791130634432,S000001687131,돈의 시나리오,"17,000","15,300",10%,5%,850,김종봉 외,다산북스,20210113,경제/경영
66,9788998441012,S000001632467,모순,"13,000","11,700",10%,5%,650,양귀자,쓰다,20130401,소설
67,9791191043150,S000001947474,나는 나답게 살기로 했다,"13,500","12,150",10%,5%,670,손힘찬,스튜디오오드리,20210208,인문
68,9791165382841,S000001836273,설민석의 한국사 대모험 16,"12,000","10,800",10%,5%,600,설민석 외,아이휴먼,20210330,어린이(초등)
69,9791191360196,S000001950661,미래의 부,"17,000","15,300",10%,5%,850,이지성,차이정원,20210726,경제/경영
70,9788968331862,S000001056702,방구석 미술관,"16,800","15,120",10%,5%,840,조원재,블랙피쉬,20211221,예술/대중문화
71,9791130635712,S000001687207,흔한남매 불꽃 튀는 우리말 1,"13,000","11,700",10%,5%,650,흔한남매 ,다산어린이,20210302,어린이(초등)
72,9791197410307,S000001986369,운의 알고리즘,"16,000","14,400",10%,5%,800,정회도,소울소사이어티,20210428,자기계발
73,9791159036514,S000001774493,데미안(리커버 한정판)(초판본)(1919년 오리지널 초판본 패브릭 에디션),"12,000","10,800",10%,5%,600,헤르만 헤세,더스토리,20171030,소설
74,9791191891027,S000001953723,럭키,"16,000","14,400",10%,5%,800,김도윤,북로망스,20210825,자기계발
75,9791164137176,S000001826171,흔한남매 별난 방탈출 1,"12,000","10,800",10%,5%,600,흔한남매 ,미래엔아이세움,20201217,어린이(초등)
76,9788956609959,S000000828491,종의 기원,"13,000","11,700",10%,5%,650,정유정,은행나무,20160516,소설
77,9788932473901,S000000576524,이기적 유전자(40주년 기념판),"20,000","18,000",10%,5%,"1,000",리처드 도킨스,을유문화사,20181020,과학
78,9791158511906,S000001767954,나의 하루는 4시 30분에 시작된다(리커버 한정판),"15,000","13,500",10%,5%,750,김유진,토네이도,20211203,자기계발
79,9791196067694,S000001971407,12가지 인생의 법칙,"16,800","15,120",10%,5%,840,조던 B. 피터슨,메이븐,20181030,인문
80,9791158510619,S000001767887,타이탄의 도구들(블랙 에디션),"18,000","16,200",10%,5%,900,팀 페리스,토네이도,20220620,자기계발
81,9788932921037,S000000582123,문명 1,"14,800","13,320",10%,5%,740,베르나르 베르베르,열린책들,20210530,소설
82,9788925566511,S000000479010,월급쟁이 부자로 은퇴하라,"18,000","16,200",10%,5%,900,너나위,알에이치코리아,20190522,경제/경영
83,9788965964230,S000001029390,어떤 죽음이 삶에게 말했다,"15,000","13,500",10%,5%,750,김범석,흐름출판,20210118,시/에세이
84,9791197037122,S000001983084,"안녕, 소중한 사람","15,000","13,500",10%,5%,750,정한경,북로망스,20200916,시/에세이
85,9791190538329,S000001941415,생각이 너무 많은 서른 살에게,"16,000","14,400",10%,5%,800,김은주,메이븐,20210610,자기계발
86,9788937834790,S000000625441,정의란 무엇인가,"15,000","13,500",10%,5%,750,마이클 샌델,와이즈베리,20141120,인문
87,9791160022988,S000001787457,주린이도 술술 읽는 친절한 주식책,"15,000","13,500",10%,5%,750,최정희 외,메이트북스,20200901,경제/경영
88,9788954677158,S000000780847,긴긴밤,"11,500","10,350",10%,5%,570,루리,문학동네,20210203,어린이(초등)
89,9791164137053,S000001826161,추리 천재 엉덩이 탐정 10: 사랑의 포로 사건,"12,000","10,800",10%,5%,600,트롤,미래엔아이세움,20201215,어린이(초등)
90,9791190382267,S000001939521,마음챙김의 시,"13,000","11,700",10%,5%,650,류시화 ,수오서재,20200917,시/에세이
91,9791191393163,S000001950952,돈의 역사는 되풀이된다,"16,000","14,400",10%,5%,800,홍춘욱,포르체,20210616,경제/경영
92,9788995563502,S000001575417,부의 인문학,"15,000","13,500",10%,5%,750,브라운스톤(우석),오픈마인드,20191004,경제/경영
93,9788954681179,S000000781066,밝은 밤,"14,500","13,050",10%,5%,720,최은영,문학동네,20210727,소설
94,9788936456788,S000000611860,아몬드,"13,000","11,700",10%,5%,650,손원평,창비,20170331,청소년
95,9788998274931,S000001629834,봉제인형 살인사건,"15,000","13,500",10%,5%,750,다니엘 콜,북플라자,20171020,소설
96,9791190313186,S000001938774,지적 대화를 위한 넓고 얕은 지식 1,"16,000","14,400",10%,5%,800,채사장,웨일북(whalebooks),20200205,인문
97,9791191043181,S000001947476,오늘은 이만 좀 쉴게요(10만 부 기념 스페셜 에디션),"14,000","12,600",10%,5%,700,손힘찬(오가타 마리토),스튜디오오드리,20210310,시/에세이
98,9791190313131,S000001938772,지적 대화를 위한 넓고 얕은 지식: 제로 편,"19,800","17,820",10%,5%,990,채사장,웨일북(whalebooks),20191224,인문
99,9788965423386,S000001020256,해커스 토익 스타트 리스닝(Listening) LC,"14,900","13,410",10%,5%,740,David Cho,해커스어학연구소,20220221,외국어
100,9788935213344,S000000600547,다산의 마지막 습관,"16,000","14,400",10%,5%,800,조윤제,청림출판,20201116,자기계발
101,9788957821305,S000000858136,현명한 투자자,"23,000","20,700",10%,5%,"1,150",벤저민 그레이엄,국일증권경제연구소,20200526,경제/경영
102,9791191824001,S000001953324,지구 끝의 온실,"15,000","13,500",10%,5%,750,김초엽,자이언트북스,20210818,소설
103,9791162371732,S000001812177,EEA: English for Everyday Activities(한글판),"14,000","12,600",10%,5%,700,Lawrence J. Zwier,웅진컴퍼스,20201217,외국어
104,9788954675987,S000000780790,일인칭 단수,"14,500","13,050",10%,5%,720,무라카미 하루키,문학동네,20201126,소설
105,9791187119845,S000001897363,나는 나로 살기로 했다,"13,800","12,420",10%,5%,690,김수현,마음의숲,20200316,시/에세이
106,9791130640600,S000001687323,대한민국 재건축 재개발 지도,"19,000","17,100",10%,5%,950,정지영,다산북스,20210825,경제/경영
107,9791190786355,S000001943769,보통의 언어들,"14,500","13,050",10%,5%,720,김이나,위즈덤하우스,20200527,시/에세이
108,9788925591711,S000000479461,블랙 쇼맨과 이름 없는 마을의 살인,"18,000","16,200",10%,5%,900,히가시노 게이고,알에이치코리아,20201130,소설
109,9791162541807,S000001813707,뉴욕주민의 진짜 미국식 주식투자,"23,000","20,700",10%,5%,"1,150",뉴욕주민,비즈니스북스,20201216,경제/경영
110,9791165214975,S000001834595,소수몽키의 한 권으로 끝내는 미국주식,"20,000","18,000",10%,1%,200,소수몽키(홍승초),길벗,20210324,경제/경영
111,9791158887544,S000001772370,듄 1(DUNE),"25,000","22,500",10%,5%,"1,250",프랭크 허버트,황금가지,20210121,소설
112,9788934991366,S000000598071,"빌 게이츠, 기후 재앙을 피하는 법","17,800","16,020",10%,5%,890,빌 게이츠,김영사,20210216,정치/사회
113,9791191438406,S000001951342,거꾸로 읽는 세계사,"17,500","15,750",10%,5%,870,유시민,돌베개,20211029,역사/문화
114,9791196918033,S000001981866,비전공자를 위한 이해할 수 있는 IT 지식,"16,800","15,120",10%,5%,840,최원영,티더블유아이지,20200714,컴퓨터/IT
115,9791158511982,S000001767959,멘탈의 연금술,"16,000","14,400",10%,5%,800,보도 섀퍼,토네이도,20201214,자기계발
116,9788954654753,S000000780281,체리새우: 비밀글입니다(30만 부 리커버 특별판),"11,500","10,350",10%,5%,570,황영미,문학동네,20190128,청소년
117,9791162541869,S000001813710,주식 공부 5일 완성,"18,000","16,200",10%,5%,900,박민수,비즈니스북스,20210118,경제/경영
119,9788901245713,S000000407974,"위기의 시대, 돈의 미래","17,500","15,750",10%,5%,870,짐 로저스,리더스북,20201120,경제/경영
120,9791165794811,S000001840575,130층 나무 집,"12,000","10,800",10%,5%,600,앤디 그리피스,시공주니어,20210315,어린이(초등)
121,9788925588636,S000000479324,나는 주식 대신 달러를 산다,"16,000","14,400",10%,5%,800,박성현,알에이치코리아,20210530,경제/경영
122,9791164137077,S000001826163,미드나잇 선 1,"15,800","14,220",10%,5%,790,스테프니 메이어,북폴리오,20201224,소설
123,9791190242516,S000001937740,존리의 금융문맹 탈출,"16,000","14,400",10%,5%,800,존 리,베가북스,20201012,경제/경영
124,9788947546980,S000000696104,강방천의 관점,"25,000","22,500",10%,5%,"1,250",강방천,한국경제신문,20210303,경제/경영
125,9791191056471,S000001947556,휴먼카인드,"22,000","19,800",10%,5%,"1,100",뤼트허르 브레흐만,인플루엔셜,20210302,인문
126,9791189352424,S000001926154,투자의 본질,"18,000","16,200",10%,5%,900,박세익,위너스북,20210820,경제/경영
127,9791191308198,S000001950240,50 홍정욱 에세이,"14,500","13,050",10%,5%,720,홍정욱,위즈덤하우스,20210114,시/에세이
128,9788947547079,S000000696113,싱크 어게인(리커버 블랙 에디션),"19,800","17,820",10%,5%,990,애덤 그랜트,한국경제신문,20210330,경제/경영
129,9791158360375,S000001766001,알사탕,"12,000","10,800",10%,5%,600,백희나,책읽는곰,20170325,유아(0~7세)
130,9791190977326,S000001946738,나의 첫 주식 교과서,"16,500","14,850",10%,5%,820,강방천 외,페이지2북스,20210721,경제/경영
131,9791190538268,S000001941413,나는 나무처럼 살고 싶다(10만 부 기념 스페셜 에디션),"16,000","14,400",10%,5%,800,우종영,메이븐,20210208,인문
132,9791164060481,S000001824884,이상한 과자 가게 전천당 1,"12,000","10,800",10%,5%,600,히로시마 레이코,길벗스쿨,20190705,어린이(초등)
133,9791164137121,S000001826167,흔한남매의 흔한 호기심 2,"12,000","10,800",10%,5%,600,흔한남매 ,미래엔아이세움,20201217,어린이(초등)
134,9791190382175,S000001939514,더 해빙(The Having)(50만부 기념 리커버 에디션),"16,000","14,400",10%,5%,800,이서윤 외,수오서재,20200301,자기계발
136,9791196831080,S000001981134,부의 대이동,"17,000","15,300",10%,5%,850,오건영,페이지2북스,20200723,경제/경영
137,9788950993153,S000000711251,마법천자문 50: 착해져라! 착할 선,"14,000","12,600",10%,5%,700,유대영,아울북,20210120,어린이(초등)
138,9788915107908,S000000447834,임신 출산 육아 대백과(2021~2022),"19,500","17,550",10%,5%,970,삼성출판사 편집부,삼성출판사,20210731,가정/육아
139,9791191211467,S000001949228,그냥 하지 말라,"17,000","15,300",10%,5%,850,송길영,북스톤,20211005,경제/경영
140,9788934985068,S000000597791,팩트풀니스,"19,800","17,820",10%,5%,990,한스 로슬링 외,김영사,20190310,인문
141,9788936456894,S000000611871,페인트,"12,000","10,800",10%,5%,600,이희영,창비,20190419,청소년
142,9791191280333,S000001949990,데일 카네기 자기관리론(1948년 초판 완역본),"11,500","10,350",10%,5%,570,데일 카네기,현대지성,20210113,자기계발
143,9788959893546,S000000912431,"돈, 뜨겁게 사랑하고 차갑게 다루어라","12,000","10,800",10%,5%,600,앙드레 코스톨라니,미래의창,20150930,경제/경영
144,9788935213283,S000000600544,떠난 후에 남겨진 것들,"14,500","13,050",10%,5%,720,김새별 외,청림출판,20200929,시/에세이
145,9791158551957,S000001768412,해커스 OPIc 오픽 Advanced 공략,"15,900","14,310",10%,5%,790,해커스 오픽연구소,해커스,20210813,외국어
146,9788965746669,S000001026048,당신이 옳다,"17,500","15,750",10%,5%,870,정혜신,해냄출판사,20181010,인문
147,9791190242271,S000001937724,재무제표 모르면 주식투자 절대로 하지마라,"19,800","17,820",10%,5%,990,사경인,베가북스,20200110,경제/경영
148,9788971999080,S000001111155,나의 한국현대사 1959-2020,"19,000","17,100",10%,5%,950,유시민,돌베개,20210120,역사/문화
149,9788960518612,S000000928985,지구를 위한다는 착각,"22,000","19,800",10%,5%,"1,100",마이클 셸런버거,부키,20210427,정치/사회
150,9788972773481,S000001124132,끌리는 말투 호감 가는 말투,"14,800","13,320",10%,5%,740,리우난,리드리드출판,20210325,자기계발
151,9791130637617,S000001687246,불안한 사람들,"15,800","14,220",10%,5%,790,프레드릭 배크만,다산책방,20210514,소설
152,9791190456319,S000001940463,어떻게 인생을 살 것인가(특별판),"17,000","15,300",10%,5%,850,쑤린,다연,20210215,자기계발
153,9791162143056,S000001807580,나를 사랑하는 연습(10만 부 판매 기념 리커버 에디션),"14,000","12,600",10%,5%,700,정영욱,부크럼,20200102,자기계발
154,9788996991342,S000001606967,미움받을 용기,"14,900","13,410",10%,5%,740,기시미 이치로 외,인플루엔셜,20141117,인문
155,9791130621968,S000001686681,역사의 쓸모,"15,000","13,500",10%,5%,750,최태성,다산초당,20191122,인문
156,9788947544085,S000000695821,하버드 상위 1퍼센트의 비밀(리커버 에디션),"16,000","14,400",10%,5%,800,정주영,한국경제신문,20181017,자기계발
157,9788973814725,S000001144035,멋진 신세계,"13,800","12,420",10%,5%,690,올더스 헉슬리,소담출판사,20150612,소설
158,9791190299220,S000001938504,그게 너였으면 좋겠다,"15,500","13,950",10%,5%,770,일홍,피카(FIKA),20210426,시/에세이
159,9791197080821,S000001983538,더 보스(The Boss),"15,500","13,950",10%,5%,770,안규호,떠오름(RISE),20210517,자기계발
160,9788956605418,S000000828212,월든(완결판),"13,000","11,700",10%,5%,650,헨리 데이빗 소로우,은행나무,20110822,시/에세이
161,9791164842254,S000001832059,메트로폴리스,"27,000","24,300",10%,5%,"1,350",벤 윌슨,매일경제신문사,20210308,역사/문화
162,9788937479953,S000000620706,보건교사 안은영(특별판),"14,000","12,600",10%,5%,700,정세랑,민음사,20200911,소설
163,9791165343996,S000001835715,서울 자가에 대기업 다니는 김 부장 이야기 1: 김부장 편,"15,000","13,500",10%,5%,750,송희구,서삼독,20210825,자기계발
164,9788952206503,S000000720568,시크릿,"13,800","12,420",10%,5%,690,론다 번,살림Biz,20070618,자기계발
165,9791134858117,S000001702830,귀멸의 칼날 공식팬북,"9,500","8,550",10%,5%,470,고토게 코요하루,학산문화사,20200924,만화
166,9788936434496,S000000610645,달까지 가자,"14,000","12,600",10%,5%,700,장류진,창비,20210415,소설
167,9788925588667,S000000479327,프리워커스,"16,000","14,400",10%,5%,800,모빌스그룹,알에이치코리아,20210501,경제/경영
168,9791162540640,S000001813652,아주 작은 습관의 힘,"16,000","14,400",10%,5%,800,제임스 클리어,비즈니스북스,20190226,자기계발
169,9791162143605,S000001807614,잘했고 잘하고 있고 잘 될 것이다(스페셜 리미티드 에디션),"15,000","13,500",10%,5%,750,정영욱,부크럼,20210514,시/에세이
170,9788982814471,S000001279906,연금술사,"12,000","10,800",10%,5%,600,파울로 코엘료,문학동네,20181205,소설
171,9788937460449,S000000620181,데미안,"8,000","7,200",10%,5%,400,헤르만 헤세,민음사,20090120,소설
172,9788936447014,S000000611343,아홉 살 마음 사전,"11,000","9,900",10%,5%,550,박성우,창비,20170310,어린이(초등)
173,9791188754366,S000001918159,상장기업 업종 지도(2021),"16,000","14,400",10%,5%,800,박찬일,에프엔미디어,20210101,경제/경영
174,9791196797799,S000001980671,모든 날에 모든 순간에 위로를 보낸다,"13,800","12,420",10%,5%,690,글배우,강한별,20210407,시/에세이
175,9791187799146,S000001906277,엑시트(Exit),"17,000","15,300",10%,5%,850,송희창,지혜로,20201123,경제/경영
176,9791163030911,S000001817933,Do it! 점프 투 파이썬,"18,800","16,920",10%,5%,940,박응용,이지스퍼블리싱,20190620,컴퓨터/IT
177,9791187481720,S000001902241,존리의 부자되기 습관(20만부 기념 리커버 에디션),"15,000","13,500",10%,5%,750,존 리,지식노마드,20200115,경제/경영
178,9791190299145,S000001938501,그렇게 말해줘서 고마워,"14,800","13,320",10%,5%,740,김유진,피카(FIKA),20201015,시/에세이
179,9791197080807,S000001983536,사랑의 온도,"14,400","12,960",10%,5%,720,고경표,떠오름(RISE),20201204,시/에세이
180,9791196848194,S000001981296,수학 잘하는 아이는 이렇게 공부합니다,"16,800","15,120",10%,5%,840,류승재,블루무스,20221209,가정/육아
181,9788931557527,S000000560034,부의 품격: 착하게 살아도 성공할 수 있다,"15,800","14,220",10%,1%,150,양원근,성안당,20210702,자기계발
182,9788965421030,S000001020123,해커스 보카(Hackers Vocabulary),"16,900","15,210",10%,5%,840,David Cho,해커스어학연구소,20211213,외국어
183,9791158741051,S000001771374,심리학을 만나 행복해졌다(특별판 리커버에디션),"16,800","15,120",10%,1%,160,장원청,미디어숲,20210210,자기계발
184,9791155813355,S000001729565,IT 좀 아는 사람,"17,800","16,020",10%,5%,890,닐 메타 외,윌북,20210120,경제/경영
185,9788947547260,S000000696132,세금 내는 아이들,"14,000","12,600",10%,5%,700,옥효진,한국경제신문,20210615,어린이(초등)
186,9791136267672,S000001712316,원피스 98: 충신 킨,"5,000","4,500",10%,5%,250,Eiichiro Oda,대원씨아이,20210310,만화
187,9788947547567,S000000696161,제로 투 원(리커버 에디션),"16,000","14,400",10%,5%,800,피터 틸 외,한국경제신문,20211004,경제/경영
188,9788936811532,S000000616948,빅터 프랭클의 죽음의 수용소에서,"13,000","11,700",10%,5%,650,빅터 프랭클,청아출판사,20200530,시/에세이
189,9788901248158,S000000408029,유리멘탈을 위한 심리책,"14,000","12,600",10%,5%,700,미즈시마 히로코,갤리온,20210127,자기계발
190,9791187799177,S000001906278,아파트 청약 이렇게 쉬웠어?,"18,000","16,200",10%,5%,900,김태훈(베니아),지혜로,20210820,경제/경영
191,9788954650212,S000000780033,세계를 건너 너에게 갈게,"12,500","11,250",10%,5%,620,이꽃님,문학동네,20210924,청소년
192,9791155813102,S000001729554,걸어 다니는 어원 사전,"16,800","15,120",10%,5%,840,마크 포사이스,윌북,20200907,인문
193,9791157845286,S000001761063,눈 떠보니 선진국,"16,500","14,850",10%,5%,820,박태웅,한빛비즈,20210801,정치/사회
194,9788956604992,S000000828190,7년의 밤,"14,500","13,050",10%,5%,720,정유정,은행나무,20160530,소설
195,9788917235944,S000000450452,토익 단기공략 750+(LC+RC),"18,000","16,200",10%,5%,900,ETS,YBM,20200820,외국어
196,9791158681883,S000001770985,읽으면서 바로 써먹는 어린이 속담: 바이러스 편,"12,000","10,800",10%,5%,600,한날,파란정원,20201218,어린이(초등)
197,9788949162102,S000000700446,양순이네 떡집,"11,000","9,900",10%,5%,550,김리리,비룡소,20210816,어린이(초등)
198,9788993178692,S000001519705,지리의 힘,"20,000","18,000",10%,5%,"1,000",팀 마샬,사이,20160810,정치/사회
199,9788917229813,S000000450340,ETS 토익 기출 VOCA 출제기관 공식수험서,"12,900","11,610",10%,5%,640,ETS,YBM,20180605,외국어
200,9791186757093,S000001891815,자존감 수업,"14,000","12,600",10%,5%,700,윤홍균,심플라이프,20160901,인문
