순위,상품코드,판매상품ID,상품명,정가,판매가,할인율,적립율,적립예정포인트,인물,출판사,발행(출시)일자,분야
73,9788959894819,S000000912502,트렌드 코리아 2018(10주년 특별판),"18,000","16,200",10%,5%,900,김난도 외,미래의창,20171030,경제/경영
74,9788936433598,S000000610567,채식주의자,"12,000","10,800",10%,5%,600,한강,창비,20071030,소설
75,9791162335123,S000001811720,추리 천재 엉덩이 탐정 6: 수상한 탐정 사무소 사건,"12,000","10,800",10%,5%,600,트롤,미래엔아이세움,20180530,어린이(초등)
76,9788972758426,S000001123722,그대 눈동자에 건배,"14,000","12,600",10%,5%,700,히가시노 게이고,현대문학,20171127,소설
77,9788965133520,S000001015900,유시민의 글쓰기 특강,"15,000","13,500",10%,5%,750,유시민,생각의길,20150410,인문
78,9788915102019,S000000447578,임신 출산 육아 대백과(2019~2020),"18,500","16,650",10%,5%,920,삼성출판사 편집부,삼성출판사,20190701,가정/육아
79,9791162201510,S000001808589,"김영철, 타일러의 진짜 미국식 영어","14,800","13,320",10%,5%,740,김영철 외,위즈덤하우스,20171208,외국어
81,9788956604992,S000000828190,7년의 밤,"14,500","13,050",10%,5%,720,정유정,은행나무,20160530,소설
82,9788990982704,S000001461135,용의자 X의 헌신,"16,800","15,120",10%,5%,840,히가시노 게이고,재인,20170830,소설
83,9791187444213,S000001901933,언스크립티드,"19,800","17,820",10%,5%,990,엠제이 드마코,토트,20180117,경제/경영
84,9788965705451,S000001024678,미중전쟁 1: 풍계리 수소폭탄,"13,800","12,420",10%,5%,690,김진명,쌤앤파커스,20171212,소설
86,9788940291801,S000000641574,착! 붙는 일본어 독학 첫걸음,"14,000","12,600",10%,5%,700,일본어 공부기술연구소,시사일본어사,20220120,외국어
88,9788936434120,S000000610612,소년이 온다,"14,000","12,600",10%,5%,700,한강,창비,20140519,소설
89,9788954641630,S000000779649,쇼코의 미소,"12,000","10,800",10%,5%,600,최은영,문학동네,20190620,소설
90,9788950972226,S000000710170,엄마의 자존감 공부,"16,000","14,400",10%,5%,800,김미경,21세기북스,20171110,자기계발
91,9791188248124,S000001912112,우리는 언젠가 만난다,"14,000","12,600",10%,5%,700,채사장,웨일북(whalebooks),20171224,인문
92,9791186560617,S000001887758,불행 피하기 기술,"15,800","14,220",10%,5%,790,롤프 도벨리,인플루엔셜,20180120,자기계발
93,9791188380169,S000001913821,좀비고등학교 코믹스 5,"9,800","8,820",10%,5%,490,배아이,겜툰,20180215,어린이(초등)
95,9791157108718,S000001750592,너의 췌장을 먹고 싶어(노블판),"13,800","12,420",10%,5%,690,스미노 요루,소미미디어,20170401,소설
96,9791162201046,S000001808551,세상에서 가장 짧은 세계사,"16,000","14,400",10%,5%,800,존 허스트,위즈덤하우스,20171107,역사/문화
97,9788950974329,S000000710291,Go Go 카카오프렌즈 2: 영국,"14,800","13,320",10%,5%,740,김미영,아울북,20180425,어린이(초등)
98,9788925559650,S000000478547,참 소중한 너라서,"14,800","13,320",10%,5%,740,김지훈,알에이치코리아,20160707,시/에세이
99,9788971996096,S000001110983,나의 한국현대사,"18,000","16,200",10%,5%,900,유시민,돌베개,20140710,역사/문화
100,9788965746614,S000001026043,해리 1,"14,500","13,050",10%,5%,720,공지영,해냄출판사,20180730,소설
101,9788959136896,S000000887902,스물아홉 생일 1년 후 죽기로 결심했다(반짝 에디션),"15,800","14,220",10%,5%,790,하야마 아마리,위즈덤하우스,20221201,시/에세이
103,9788970127248,S000001068676,총 균 쇠,"28,000","25,200",10%,5%,"1,400",재레드 다이아몬드,문학사상,20051219,역사/문화
104,9788954624534,S000000778960,반딧불이,"12,000","10,800",10%,5%,600,무라카미 하루키,문학동네,20140828,소설
105,9791157842636,S000001760938,원칙,"35,000","31,500",10%,5%,"1,750",레이 달리오,한빛비즈,20180618,경제/경영
106,9791196376406,S000001975530,한 권으로 정리하는 4차 산업혁명,"16,800","15,120",10%,5%,840,최진기,이지퍼블리싱,20180511,경제/경영
107,9791160486735,S000001792100,완벽한 공부법,"19,800","17,820",10%,5%,990,고영성 외,로크미디어,20170106,자기계발
108,9788971998014,S000001111098,국가란 무엇인가,"15,000","13,500",10%,5%,750,유시민,돌베개,20170123,인문
109,9791196273149,S000001974217,혼자 있고 싶은데 외로운 건 싫어,"13,000","11,700",10%,5%,650,피터 홀린스,포레스트북스,20180314,인문
110,9788954651820,S000000780120,내게 무해한 사람,"13,500","12,150",10%,5%,670,최은영,문학동네,20190620,소설
111,9791133468430,S000001697706,너라는 계절(감성 일러스트 에디션),"14,800","13,320",10%,5%,740,김지훈,니들북,20171123,시/에세이
112,9791129489159,S000001679314,뼈 있는 아무 말 대잔치,"15,800","14,220",10%,5%,790,신영준 외,로크미디어,20180913,시/에세이
113,9788950976514,S000000710376,오늘처럼 내가 싫었던 날은 없다,"16,000","14,400",10%,5%,800,글배우,21세기북스,20180907,인문
114,9791196067694,S000001971407,12가지 인생의 법칙,"16,800","15,120",10%,5%,840,조던 B. 피터슨,메이븐,20181030,인문
115,9788925564210,S000000478865,"앨리스, 너만의 길을 그려봐","13,800","12,420",10%,5%,690,이상한 나라의 앨리스,알에이치코리아,20180720,시/에세이
116,9791188007134,S000001908907,엄마의 말하기 연습,"14,800","13,320",10%,5%,740,박재연,한빛라이프,20180226,가정/육아
117,9791188874088,S000001919524,설민석의 한국사 대모험 6,"10,500","9,450",10%,5%,520,설민석 외,아이휴먼,20180420,어린이(초등)
118,9791130617060,S000001686582,머니(Money),"17,000","15,300",10%,5%,850,롭 무어,다산북스,20180524,경제/경영
119,9788925564289,S000000478869,나는 오늘도 경제적 자유를 꿈꾼다,"16,800","15,120",10%,5%,840,청울림(유대열),알에이치코리아,20180719,경제/경영
120,9788972773207,S000001124104,하버드 첫 강의 시간관리 수업,"14,800","13,320",10%,5%,740,쉬셴장,리드리드출판,20180403,자기계발
121,9788901093154,S000000403841,넛지 : 똑똑한 선택을 이끄는 힘,"15,500","13,950",10%,5%,770,리처드 탈러 외,리더스북,20090422,경제/경영
122,9788954651134,S000000780090,흰,"12,500","11,250",10%,5%,620,한강,문학동네,20180425,소설
123,9791156397267,S000001740125,Who? Special 손흥민,"12,800","11,520",10%,5%,640,강진희,다산어린이,20181015,어린이(초등)
124,9791186274156,S000001882197,약간의 거리를 둔다,"9,900","8,910",10%,5%,490,소노 아야코,책읽는고양이,20161020,시/에세이
125,9791130616650,S000001686573,베어타운,"15,800","14,220",10%,5%,790,프레드릭 배크만,다산책방,20180418,소설
126,9788950965693,S000000709815,빨강머리 앤이 하는 말,"19,800","17,820",10%,5%,990,백영옥,아르테(arte),20160715,시/에세이
127,9791156757344,S000001744837,우울할 땐 뇌과학,"17,000","15,300",10%,5%,850,앨릭스 코브,심심,20180312,인문
129,9791195322183,S000001960275,완벽하지 않은 것들에 대한 사랑,"14,800","13,320",10%,5%,740,혜민,수오서재,20160203,시/에세이
130,9791133473540,S000001697983,원피스 88: 사자,"5,000","4,500",10%,5%,250,오다 에이치로,대원씨아이,20180326,만화
131,9791130616261,S000001686562,보노보노의 인생상담,"16,000","14,400",10%,5%,800,이가라시 미키오,놀,20180320,시/에세이
132,9791187498186,S000001902584,인생에서 너무 늦은 때란 없습니다,"13,800","12,420",10%,5%,690,애나 메리 로버트슨 모지스,수오서재,20171216,시/에세이
133,9788950973223,S000000710223,마법천자문 41: 내가 나아갈 길! 길 도,"9,800","8,820",10%,5%,490,김창환,아울북,20180125,어린이(초등)
134,9788901218151,S000000407428,청춘의 독서,"14,800","13,320",10%,5%,740,유시민,웅진지식하우스,20170707,인문
135,9791159039690,S000001774732,어린왕자(초판본)(1943년 오리지널 초판본 표지디자인),"9,800","8,820",10%,5%,490,생텍쥐페리,더스토리,20180910,소설
136,9788937460449,S000000620181,데미안,"8,000","7,200",10%,5%,400,헤르만 헤세,민음사,20090120,소설
138,9788954645614,S000000779863,오직 두 사람,"13,000","11,700",10%,5%,650,김영하,문학동네,20170525,소설
139,9788993635850,S000001531331,횡설수설하지 않고 정확하게 설명하는 법,"13,000","11,700",10%,5%,650,고구레 다이치,갈매나무,20170828,자기계발
140,9788966350759,S000001034425,하늘 100층짜리 집,"12,000","10,800",10%,5%,600,이와이 도시오,북뱅크,20171225,유아(0~7세)
141,9788990982728,S000001461137,살인의 문 1,"14,800","13,320",10%,5%,740,히가시노 게이고,재인,20180831,소설
142,9791158883591,S000001772245,부자 아빠 가난한 아빠 1(20주년 특별 기념판),"17,000","15,300",10%,5%,850,로버트 기요사키,민음인,20221028,경제/경영
143,9788965704959,S000001024651,아무것도 아닌 지금은 없다,"13,000","11,700",10%,5%,650,글배우,쌤앤파커스,20170801,시/에세이
144,9788965421030,S000001020123,해커스 보카(Hackers Vocabulary),"16,900","15,210",10%,5%,840,David Cho,해커스어학연구소,20211213,외국어
145,9791186560655,S000001887760,미움받을 용기(특별 합본호)(한정판),"19,800","17,820",10%,5%,990,기시미 이치로 외,인플루엔셜,20180302,인문
146,9791162140505,S000001807503,편지할게요(러브레터 에디션),"14,000","12,600",10%,5%,700,정영욱,부크럼,20191022,시/에세이
148,9791196025892,S000001970804,설민석의 무도 한국사 특강,"22,000","19,800",10%,1%,220,설민석,휴먼큐브,20190129,역사/문화
149,9791160504576,S000001792651,모두 거짓말을 한다,"18,000","16,200",10%,1%,180,세스 스티븐스 다비도위츠,더퀘스트,20180617,경제/경영
150,9791187512295,S000001902945,최강의 육아,"15,000","13,500",10%,5%,750,트레이시 커크로,앵글북스,20180607,가정/육아
151,9788932023151,S000000569840,비행운,"12,000","10,800",10%,5%,600,김애란,문학과지성사,20120719,소설
153,9788954649896,S000000780013,그 겨울의 일주일,"14,800","13,320",10%,5%,740,메이브 빈치,문학동네,20180112,소설
154,9791129701701,S000001679563,클라우스 슈밥의 제4차 산업혁명 더 넥스트(The Next),"17,000","15,300",10%,5%,850,클라우스 슈밥,메가스터디북스,20180405,경제/경영
156,9791162540183,S000001813631,27년 동안 영어 공부에 실패했던 39세 김과장은 어떻게 3개월 만에 영어 천재가 됐을까,"14,000","12,600",10%,5%,700,김영익,비즈니스북스,20180524,자기계발
157,9788946420762,S000000687514,기다리는 행복,"15,000","13,500",10%,5%,750,이해인,샘터(샘터사),20171222,시/에세이
158,9791187498100,S000001902578,"멈추면, 비로소 보이는 것들","14,800","13,320",10%,5%,740,혜민,수오서재,20170315,시/에세이
160,9791162203637,S000001808686,진작 할 걸 그랬어,"14,800","13,320",10%,5%,740,김소영,위즈덤하우스,20180430,시/에세이
161,9791162200902,S000001808545,"취향을 설계하는 곳, 츠타야","17,800","16,020",10%,5%,890,마스다 무네아키,위즈덤하우스,20171121,경제/경영
162,9788937437564,S000000619722,참을 수 없는 존재의 가벼움,"15,000","13,500",10%,5%,750,밀란 쿤데라,민음사,20180620,소설
163,9791158551957,S000001768412,해커스 OPIc 오픽 Advanced 공략,"15,900","14,310",10%,5%,790,해커스 오픽연구소,해커스,20210813,외국어
164,9788965420286,S000001020089,그래머 게이트웨이 베이직: 초보를 위한 기초 영문법 (Grammar Gateway Basic Light Version),"12,900","11,610",10%,5%,640,David Cho,해커스어학연구소,20220117,외국어
165,9788932473901,S000000576524,이기적 유전자(40주년 기념판),"20,000","18,000",10%,5%,"1,000",리처드 도킨스,을유문화사,20181020,과학
166,9791158360801,S000001766042,이상한 손님,"12,000","10,800",10%,5%,600,백희나,책읽는곰,20180321,유아(0~7세)
167,9791160501261,S000001792464,부동산 상식사전,"16,500","14,850",10%,5%,820,백영록,길벗,20170228,경제/경영
168,9791158510619,S000001767887,타이탄의 도구들(블랙 에디션),"18,000","16,200",10%,5%,900,팀 페리스,토네이도,20220620,자기계발
169,9791187289319,S000001899586,마케터의 일,"14,000","12,600",10%,5%,700,장인성,북스톤,20180405,경제/경영
170,9791133463930,S000001697512,도티&잠뜰 스토리북-방탈출 대작전,"8,500","7,650",10%,5%,420,대원키즈 편집부,대원키즈,20171102,어린이(초등)
171,9788992441575,S000001501974,욱하는 성질 죽이기,"15,000","13,500",10%,5%,750,로널드 T.포터-에프론,다연,20141010,자기계발
172,9791187481423,S000001902220,앞으로 5년 미중전쟁 시나리오,"25,000","22,500",10%,5%,"1,250",최윤식,지식노마드,20180622,경제/경영
173,9791133477296,S000001698182,어벤져스 인피니티 워 캐릭터도감,"9,500","8,550",10%,5%,470,대원키즈 편집부,대원키즈,20180420,어린이(초등)
174,9788968330889,S000001056651,나에게 고맙다,"13,800","12,420",10%,1%,130,전승환,허밍버드,20160622,시/에세이
175,9791186560785,S000001887766,수학이 필요한 순간,"15,800","14,220",10%,5%,790,김민형,인플루엔셜,20180803,과학
176,9788925563022,S000000478794,내가 소홀했던 것들,"13,800","12,420",10%,5%,690,흔글,알에이치코리아,20180117,시/에세이
177,9788935212224,S000000600498,댄 애리얼리 부의 감각,"18,000","16,200",10%,5%,900,댄 애리얼리 외,청림출판,20180725,경제/경영
178,9791161650401,S000001803244,여행영어 100일의 기적,"12,000","10,800",10%,5%,600,문성현,넥서스,20170620,외국어
179,9791160401455,S000001790310,스님의 주례사,"13,800","12,420",10%,5%,690,법륜,휴,20180420,종교
180,9791158510688,S000001767892,북유럽 신화,"14,800","13,320",10%,5%,740,닐 게이먼,나무의철학,20170626,역사/문화
181,9788950966447,S000000709844,프레임,"16,000","14,400",10%,5%,800,최인철,21세기북스,20160831,자기계발
182,9791159031076,S000001774043,데미안(초판본)(1919년 초판본 오리지널 표지 디자인),"9,800","8,820",10%,5%,490,헤르만 헤세,더스토리,20160627,소설
183,9788926366028,S000000501897,백종원이 추천하는 집밥 메뉴 55,"9,900","8,910",10%,5%,490,백종원,서울문화사,20170421,요리
184,9788901214801,S000000407301,어쩌면 내가 가장 듣고 싶었던 말,"14,000","12,600",10%,5%,700,정희재,갤리온,20170203,시/에세이
185,9788950973063,S000000710215,무엇이 되지 않더라도,"15,000","13,500",10%,5%,750,김동영,아르테(arte),20171218,시/에세이
186,9791162540145,S000001813629,플랫폼 제국의 미래,"18,000","16,200",10%,5%,900,스콧 갤러웨이,비즈니스북스,20180430,경제/경영
187,9788932030395,S000000570297,바다는 잘 있습니다,"12,000","10,800",10%,5%,600,이병률,문학과지성사,20170920,시/에세이
188,9788996895107,S000001605353,일빵빵 영어회화 1,"13,800","12,420",10%,5%,690,서장혁,토마토,20120601,외국어
189,9788992969536,S000001515264,내가 만난 1%의 사람들,"15,000","13,500",10%,5%,750,아담 J. 잭슨,씽크뱅크,20180110,자기계발
190,9788936476694,S000000612785,나의 문화유산답사기: 산사 순례,"20,000","18,000",10%,5%,"1,000",유홍준,창비,20180830,역사/문화
191,9791185419022,S000001867277,일빵빵 기초영어: 동사 조동사 편,"13,800","12,420",10%,5%,690,서장혁,토마토,20140102,외국어
192,9788970129792,S000001068910,꿈을 꾸었다고 말했다(제42회 이상문학상 작품집 2018년),"14,800","13,320",10%,5%,740,손홍규 외,문학사상,20180112,소설
193,9788958628224,S000000879950,시를 잊은 그대에게(리커버),"15,000","13,500",10%,5%,750,정재찬,휴머니스트,20200316,시/에세이
194,9788925563770,S000000478844,11문자 살인사건,"14,800","13,320",10%,5%,740,히가시노 게이고,알에이치코리아,20180713,소설
195,9791189125264,S000001922954,하루 5분 엄마의 말습관,"14,800","13,320",10%,5%,740,임영주,위즈덤하우스,20180806,가정/육아
196,9788983926845,S000001296883,오리진 1,"13,000","11,700",10%,5%,650,댄 브라운,문학수첩,20171123,소설
197,9788959139309,S000000888070,어쩌면 별들이 너의 슬픔을 가져갈지도 몰라,"15,800","14,220",10%,5%,790,김용택,위즈덤하우스,20221101,시/에세이
198,9788954643535,S000000779753,미스 함무라비,"13,500","12,150",10%,5%,670,문유석,문학동네,20161202,소설
200,9791186805992,S000001892530,블루오션 시프트,"20,000","18,000",10%,5%,"1,000",김위찬 외,비즈니스북스,20171230,경제/경영
