순위,상품코드,판매상품ID,상품명,정가,판매가,할인율,적립율,적립예정포인트,인물,출판사,발행(출시)일자,분야
1,9788925563350,S000000478815,"곰돌이 푸, 행복한 일은 매일 있어(포레스트 에디션)","14,800","13,320",10%,5%,740,곰돌이 푸 ,알에이치코리아,20221014,시/에세이
2,9791162202913,S000001808641,모든 순간이 너였다,"13,800","12,420",10%,5%,690,하태완,위즈덤하우스,20180216,시/에세이
3,9788957369364,S000000849165,무례한 사람에게 웃으며 대처하는 법,"13,800","12,420",10%,5%,690,정문정,가나출판사,20180108,시/에세이
4,9788937473135,S000000620596,82년생 김지영,"13,000","11,700",10%,5%,650,조남주,민음사,20161014,소설
5,9791187119845,S000001897363,나는 나로 살기로 했다,"13,800","12,420",10%,5%,690,김수현,마음의숲,20200316,시/에세이
6,9791195522125,S000001963487,언어의 온도(170만부 기념 에디션),"13,800","12,420",10%,5%,690,이기주,말글터,20160819,시/에세이
7,9791196394509,S000001975821,죽고 싶지만 떡볶이는 먹고 싶어,"13,800","12,420",10%,5%,690,백세희,흔,20180620,시/에세이
8,9788998274795,S000001629821,돌이킬 수 없는 약속,"15,000","13,500",10%,5%,750,야쿠마루 가쿠,북플라자,20170202,소설
9,9788972756194,S000001123530,나미야 잡화점의 기적,"14,800","13,320",10%,5%,740,히가시노 게이고,현대문학,20121219,소설
10,9788971998557,S000001111141,역사의 역사,"16,000","14,400",10%,5%,800,유시민,돌베개,20180625,역사/문화
11,9788901219943,S000000407452,신경 끄기의 기술,"15,000","13,500",10%,5%,750,마크 맨슨,갤리온,20171027,자기계발
12,9791185952987,S000001876432,말 그릇,"15,000","13,500",10%,5%,750,김윤나,카시오페아,20170922,자기계발
13,9788954637756,S000000779409,개인주의자 선언,"13,500","12,150",10%,5%,670,문유석,문학동네,20220315,인문
14,9788965132288,S000001015794,어떻게 살 것인가,"15,000","13,500",10%,5%,750,유시민,생각의길,20130313,인문
15,9788965236504,S000001017112,3층 서기실의 암호,"20,000","18,000",10%,5%,"1,000",태영호,기파랑,20180515,정치/사회
16,9791160560510,S000001793709,열두 발자국,"16,800","15,120",10%,5%,840,정재승,어크로스,20180702,인문
17,9788997092772,S000001608586,말의 품격,"14,500","13,050",10%,5%,720,이기주,황소북스,20170529,인문
18,9788925563367,S000000478816,"곰돌이 푸, 서두르지 않아도 괜찮아(포레스트 에디션)","14,800","13,320",10%,5%,740,곰돌이 푸 ,알에이치코리아,20221004,시/에세이
19,9791161903538,S000001806317,연애의 행방,"13,800","12,420",10%,5%,690,히가시노 게이고,소미미디어,20180131,소설
20,9788934972464,S000000597165,사피엔스,"22,000","19,800",10%,5%,"1,100",유발 하라리,김영사,20151124,인문
21,9791186757093,S000001891815,자존감 수업,"14,000","12,600",10%,5%,700,윤홍균,심플라이프,20160901,인문
22,9788901223032,S000000407525,하마터면 열심히 살 뻔했다,"15,000","13,500",10%,5%,750,하완,웅진지식하우스,20180423,시/에세이
24,9788952775184,S000000733850,앨리스 죽이기,"13,500","12,150",10%,5%,670,고바야시 야스미,검은숲,20151221,소설
25,9788970656250,S000001080270,만만하게 보이지 않는 대화법,"13,800","12,420",10%,5%,690,나이토 요시히토,홍익출판사,20180314,자기계발
26,9788932919126,S000000581979,고양이 1,"12,800","11,520",10%,5%,640,베르나르 베르베르,열린책들,20180612,소설
27,9788968331503,S000001056679,"나, 있는 그대로 참 좋다(몽글몽글 에디션)","13,800","12,420",10%,1%,130,조유미,허밍버드,20170922,시/에세이
28,9788990982575,S000001461127,가면산장 살인사건,"16,800","15,120",10%,5%,840,히가시노 게이고,재인,20140926,소설
30,9788932473802,S000000576515,어디서 살 것인가,"16,000","14,400",10%,5%,800,유현준,을유문화사,20180530,인문
32,9788954646079,S000000779885,바깥은 여름,"13,000","11,700",10%,5%,650,김애란,문학동네,20170628,소설
33,9788965962205,S000001029294,라틴어 수업,"15,000","13,500",10%,5%,750,한동일,흐름출판,20190429,인문
34,9791161500973,S000001802020,나의 영어 사춘기(리커버),"13,500","12,150",10%,5%,670,이시원,시원스쿨닷컴,20171222,외국어
35,9788965962823,S000001029325,골든아워 1,"15,800","14,220",10%,5%,790,이국종,흐름출판,20181002,시/에세이
36,9788933870693,S000000588832,설민석의 조선왕조실록,"22,000","19,800",10%,5%,"1,100",설민석,세계사,20160720,역사/문화
37,9788984373358,S000001310170,파리의 아파트,"14,500","13,050",10%,5%,720,기욤 뮈소,밝은세상,20171205,소설
38,9788934982975,S000000597670,21세기를 위한 21가지 제언,"22,000","19,800",10%,5%,"1,100",유발 하라리,김영사,20180903,인문
39,9791157280292,S000001752581,꽃을 보듯 너를 본다,"11,000","9,900",10%,5%,550,나태주,지혜,20201130,시/에세이
40,9788932472959,S000000576446,도시는 무엇으로 사는가,"15,000","13,500",10%,5%,750,유현준,을유문화사,20150325,인문
41,9788936434267,S000000610625,아몬드,"14,000","12,600",10%,5%,700,손원평,창비,20170331,소설
42,9791196067632,S000001971404,당신과 나 사이,"15,000","13,500",10%,5%,750,김혜남,메이븐,20180130,인문
43,9791130611853,S000001686479,보노보노처럼 살다니 다행이야,"16,000","14,400",10%,5%,800,김신회,놀,20170406,시/에세이
44,9788968331831,S000001056700,행복해지는 연습을 해요,"14,500","13,050",10%,5%,720,전승환,허밍버드,20180620,시/에세이
46,9791196045500,S000001971090,어떻게 원하는 것을 얻는가(밀리언 특별판),"16,000","14,400",10%,5%,800,스튜어트 다이아몬드,8.0(에이트 포인트),20171108,자기계발
47,9791160500844,S000001792445,주식투자 무작정 따라하기,"16,500","14,850",10%,5%,820,윤재수,길벗,20170102,경제/경영
48,9791196075170,S000001971509,운다고 달라지는 일은 아무것도 없겠지만,"14,000","12,600",10%,5%,700,박준,난다,20170701,시/에세이
49,9791195061464,S000001956107,"그해, 여름 손님","16,800","15,120",10%,5%,840,안드레 애치먼,잔,20181224,소설
50,9791158510978,S000001767909,지금 하지 않으면 언제 하겠는가,"15,000","13,500",10%,5%,750,팀 페리스,토네이도,20180423,자기계발
51,9791158160807,S000001764081,한때 소중했던 것들(빛 에디션),"14,000","12,600",10%,5%,700,이기주,달,20180709,시/에세이
52,9788986836240,S000001369407,왜 나는 너를 사랑하는가,"12,000","10,800",10%,5%,600,알랭 드 보통,청미래,20130115,소설
53,9788994702346,S000001554502,부의 추월차선,"15,000","13,500",10%,5%,750,엠제이 드마코,토트,20130820,경제/경영
54,9788952786470,S000000734890,91층 나무 집,"12,000","10,800",10%,5%,600,앤디 그리피스,시공주니어,20180301,어린이(초등)
55,9791159920967,S000001786539,랩 걸,"17,500","15,750",10%,5%,870,호프 자런,알마,20170216,과학
56,9788950967291,S000000709893,혼자 잘해주고 상처받지 마라,"18,000","16,200",10%,5%,900,유은정,21세기북스,20161027,자기계발
57,9791186686348,S000001890495,인생 우화,"16,000","14,400",10%,5%,800,류시화,연금술사,20180730,소설
58,9788983711892,S000001290624,코스모스,"19,900","17,910",10%,5%,990,칼 세이건,사이언스북스,20100120,과학
59,9788934977841,S000000597410,호모 데우스,"22,000","19,800",10%,5%,"1,100",유발 하라리,김영사,20170519,인문
60,9788965706908,S000001024738,초격차,"18,000","16,200",10%,5%,900,권오현 외,쌤앤파커스,20180910,경제/경영
62,9788937434488,S000000619590,노르웨이의 숲,"15,000","13,500",10%,5%,750,무라카미 하루키,민음사,20170807,소설
63,9788965705802,S000001024685,단 하루도 너를 사랑하지 않은 날이 없다,"14,000","12,600",10%,5%,700,김재식,쌤앤파커스,20180302,시/에세이
64,9788996991342,S000001606967,미움받을 용기,"14,900","13,410",10%,5%,740,기시미 이치로 외,인플루엔셜,20141117,인문
65,9788950975913,S000000710344,굿 라이프,"20,000","18,000",10%,5%,"1,000",최인철,21세기북스,20180620,자기계발
66,9791162540169,S000001813630,유튜브의 신,"14,000","12,600",10%,5%,700,대도서관,비즈니스북스,20180510,자기계발
67,9788950973025,S000000710212,책을 지키려는 고양이,"14,000","12,600",10%,5%,700,나쓰카와 소스케,아르테(arte),20180112,소설
68,9788960516175,S000000928872,검사내전,"15,000","13,500",10%,5%,750,김웅,부키,20180119,정치/사회
69,9788959895526,S000000912538,트렌드 코리아 2019,"17,000","15,300",10%,5%,850,김난도 외,미래의창,20181026,경제/경영
70,9788934979289,S000000597484,유병재 농담집 블랙코미디,"13,000","11,700",10%,5%,650,유병재,비채,20171030,시/에세이
71,9791129429506,S000001679056,일취월장,"22,000","19,800",10%,5%,"1,100",고영성 외,로크미디어,20171207,경제/경영
72,9788937461033,S000000620240,인간 실격,"9,000","8,100",10%,5%,450,다자이 오사무,민음사,20120410,소설
