날짜,시가,고가,저가,종가,거래량,상장시가총액
2018,2474.86,2607.1,1985.95,2041.04,97105193258 ,1340000000000000 
2019,2050.55,2252.05,1891.81,2197.67,116000000000 ,1480000000000000 
2020,2201.21,2878.21,1439.43,2873.47,222000000000 ,1980000000000000 
2021,2874.5,3316.08,2822.73,2977.65,258000000000 ,2200000000000000 
2022,2998.32,3010.77,2134.77,2236.4,146000000000 ,1770000000000000 
